Time(s),Value(bpm)
0.0912853,78
0.2162853,78
0.3412853,78
0.4662853,78
0.5912853,78
0.7162853,78
0.8412853,78
0.9662853,78
1.0912853,78
1.2162853,78
1.3412853,78
1.4662853,78
1.5912853,78
1.7162853,78
1.8412853,78
1.9662853,78
2.0912853,78
2.2162853,78
2.3412853,78
2.4662853,78
2.5912853,78
2.7162853,78
2.8412853,78
2.9662853,78
3.0912853,78
3.2162853,50
3.3412853,50
3.4662853,50
3.5912853,50
3.7162853,50
3.8412853,50
3.9662853,50
4.0912853,50
4.2162853,50
4.3412853,50
4.4662853,50
4.5912853,50
4.7162853,50
4.8412853,50
4.9662853,50
5.0912853,50
5.2162853,50
5.3412853,50
5.4662853,50
5.5912853,50
5.7162853,50
5.8412853,50
5.9662853,50
6.0912853,50
6.2162853,50
6.3412853,96
6.4662853,96
6.5912853,96
6.7162853,96
6.8412853,98
6.9662853,98
7.0912853,98
7.2162853,98
7.3412853,98
7.4662853,98
7.5912853,98
7.7162853,98
7.8412853,98
7.9662853,98
8.0912853,96
8.2162853,96
8.3412853,96
8.4662853,96
8.5912853,98
8.7162853,98
8.8412853,98
8.9662853,98
9.0912853,101
9.2162853,101
9.3412853,101
9.4662853,101
9.5912853,101
9.7162853,106
9.8412853,106
9.9662853,106
10.0912853,106
10.2162853,106
10.3412853,106
10.4662853,106
10.5912853,106
10.7162853,106
10.8412853,106
10.9662853,106
11.0912853,106
11.2162853,106
11.3412853,106
11.4662853,103
11.5912853,103
11.7162853,103
11.8412853,103
11.9662853,103
12.0912853,101
12.2162853,101
12.3412853,101
12.4662853,101
12.5912853,101
12.7162853,101
12.8412853,101
12.9662853,101
13.0912853,98
13.2162853,98
13.3412853,98
13.4662853,98
13.5912853,98
13.7162853,98
13.8412853,98
13.9662853,98
14.0912853,98
14.2162853,98
14.3412853,98
14.4662853,98
14.5912853,98
14.7162853,98
14.8412853,98
14.9662853,98
15.0912853,98
15.2162853,98
15.3412853,98
15.4662853,98
15.5912853,98
15.7162853,98
15.8412853,62
15.9662853,62
16.0912853,62
16.2162853,62
16.3412853,62
16.4662853,62
16.5912853,62
16.7162853,62
16.8412853,62
16.9662853,62
17.0912853,62
17.2162853,62
17.3412853,62
17.4662853,62
17.5912853,62
17.7162853,62
17.8412853,62
17.9662853,62
