Time(s),Value(%)
0.0912853,3.63000011444092
0.1069103,14.2700004577637
0.1225353,27.8400001525879
0.1381603,41.5800018310547
0.1537853,52.2200012207031
0.1694103,57.2599983215332
0.1850353,55.8899993896484
0.2006603,49.3600006103516
0.2162853,40.3199996948242
0.2319103,31.4500007629395
0.2475353,24.3400001525879
0.2631603,19.2299995422363
0.2787853,15.5299997329712
0.2944103,12.3199996948242
0.3100353,8.81999969482422
0.3256603,4.94000005722046
0.3412853,1.19000005722046
0.3569103,-1.94000005722046
0.3725353,-4.23999977111816
0.3881603,-5.57000017166138
0.4037853,-5.80000019073486
0.4194103,-5.32999992370605
0.4350353,-5.17000007629395
0.4506603,-6.44000005722046
0.4662853,-9.5600004196167
0.4819103,-14.0799999237061
0.4975353,-18.9699993133545
0.5131603,-23.1700000762939
0.5287853,-25.8799991607666
0.5444103,-26.7800006866455
0.5600353,-26.2199993133545
0.5756603,-24.8799991607666
0.5912853,-23.2600002288818
0.6069103,-21.4899997711182
0.6225353,-19.3899993896484
0.6381603,-16.5799999237061
0.6537853,-12.4200000762939
0.6694103,-6.21999979019165
0.6850353,2.69000005722046
0.7006603,14.7299995422363
0.7162853,29.4599990844727
0.7319103,44.9799995422363
0.7475353,58.2900009155273
0.7631603,66.4100036621094
0.7787853,67.9199981689453
0.7944103,63.4500007629395
0.8100353,55.2599983215332
0.8256603,46.0800018310547
0.8412853,38.0999984741211
0.8569103,32.2900009155273
0.8725353,28.1599998474121
0.8881603,24.2900009155273
0.9037853,19.4500007629395
0.9194103,13.539999961853
0.9350353,7.71999979019165
0.9506603,3.47000002861023
0.9662853,1.24000000953674
0.9819103,0.119999997317791
0.9975353,-1.37000000476837
1.0131603,-4.19999980926514
1.0287853,-8.35999965667725
1.0444103,-13.1599998474121
1.0600353,-17.8700008392334
1.0756603,-22.2299995422363
1.0912853,-26.5
1.1069103,-30.6399993896484
1.1225353,-33.8300018310547
1.1381603,-35.0200004577637
1.1537853,-33.8699989318848
1.1694103,-31.0599994659424
1.1850353,-27.75
1.2006603,-24.9099998474121
1.2162853,-23.1100006103516
1.2319103,-22.4599990844727
1.2475353,-22.2000007629395
1.2631603,-20.3199996948242
1.2787853,-14.1599998474121
1.2944103,-2.24000000953674
1.3100353,14.1700000762939
1.3256603,31.3400001525879
1.3412853,45.1500015258789
1.3569103,53.1300010681152
1.3725353,55.0499992370605
1.3881603,52.2000007629395
1.4037853,46.310001373291
1.4194103,38.9300003051758
1.4350353,31.2299995422363
1.4506603,23.7900009155273
1.4662853,16.5300006866455
1.4819103,8.93000030517578
1.4975353,0.379999995231628
1.5131603,-9.39000034332275
1.5287853,-20.0100002288818
1.5444103,-30.3500003814697
1.5600353,-39.0499992370605
1.5756603,-45.1399993896484
1.5912853,-48.2900009155273
1.6069103,-48.6599998474121
1.6225353,-46.6599998474121
1.6381603,-42.8300018310547
1.6537853,-37.8400001525879
1.6694103,-32.4799995422363
1.6850353,-27.2999992370605
1.7006603,-22.2999992370605
1.7162853,-17.0799999237061
1.7319103,-11.3699998855591
1.7475353,-5.51999998092651
1.7631603,-0.259999990463257
1.7787853,3.83999991416931
1.7944103,7.01000022888184
1.8100353,10.1599998474121
1.8256603,14.5900001525879
1.8412853,21.8600006103516
1.8569103,33.6100006103516
1.8725353,50.75
1.8881603,72.370002746582
1.9037853,95.6600036621094
1.9194103,117
1.9350353,133.529998779297
1.9506603,144.110000610352
1.9662853,149.270004272461
1.9819103,150.429992675781
1.9975353,148.720001220703
2.0131603,144.440002441406
2.0287853,137.279998779297
2.0444103,126.970001220703
2.0600353,113.440002441406
2.0756603,96.7099990844727
2.0912853,77
2.1069103,54.9500007629395
2.1225353,31.6000003814697
2.1381603,8.0600004196167
2.1537853,-14.8999996185303
2.1694103,-37.0299987792969
