Time(s),Value(bpm)
0.0912853,107
0.2162853,107
0.3412853,107
0.4662853,107
0.5912853,105
0.7162853,105
0.8412853,105
0.9662853,105
1.0912853,105
1.2162853,105
1.3412853,105
1.4662853,105
1.5912853,101
1.7162853,101
1.8412853,101
1.9662853,101
2.0912853,101
2.2162853,101
2.3412853,101
2.4662853,101
2.5912853,100
2.7162853,100
2.8412853,100
2.9662853,100
3.0912853,100
3.2162853,100
3.3412853,100
3.4662853,100
3.5912853,100
3.7162853,100
3.8412853,100
3.9662853,100
4.0912853,100
4.2162853,100
4.3412853,100
4.4662853,100
4.5912853,100
4.7162853,100
4.8412853,100
4.9662853,100
5.0912853,100
5.2162853,100
5.3412853,100
5.4662853,100
5.5912853,100
5.7162853,100
5.8412853,100
5.9662853,100
6.0912853,100
6.2162853,100
6.3412853,100
6.4662853,100
6.5912853,99
6.7162853,0
6.8412853,0
6.9662853,0
7.0912853,0
7.2162853,0
7.3412853,99
7.4662853,99
7.5912853,99
7.7162853,99
7.8412853,99
7.9662853,99
8.0912853,99
8.2162853,99
8.3412853,99
8.4662853,99
8.5912853,99
8.7162853,99
8.8412853,99
8.9662853,99
9.0912853,99
9.2162853,99
9.3412853,99
9.4662853,99
9.5912853,101
9.7162853,101
9.8412853,101
9.9662853,101
10.0912853,101
10.2162853,101
10.3412853,101
10.4662853,101
10.5912853,101
10.7162853,101
10.8412853,101
10.9662853,101
11.0912853,101
11.2162853,101
11.3412853,101
11.4662853,101
11.5912853,102
11.7162853,102
11.8412853,102
11.9662853,102
12.0912853,102
12.2162853,102
12.3412853,102
12.4662853,102
12.5912853,102
12.7162853,102
12.8412853,102
12.9662853,102
13.0912853,102
13.2162853,102
13.3412853,102
13.4662853,102
13.5912853,102
13.7162853,102
13.8412853,102
13.9662853,102
14.0912853,0
14.2162853,0
14.3412853,0
14.4662853,0
14.5912853,0
14.7162853,0
14.8412853,0
14.9662853,96
15.0912853,96
15.2162853,96
15.3412853,96
15.4662853,96
15.5912853,96
15.7162853,96
15.8412853,96
15.9662853,96
16.0912853,96
16.2162853,96
16.3412853,96
16.4662853,96
16.5912853,96
16.7162853,96
16.8412853,96
16.9662853,96
17.0912853,96
17.2162853,96
17.3412853,96
17.4662853,96
17.5912853,96
17.7162853,98
17.8412853,98
17.9662853,98
18.0912853,98
18.2162853,98
18.3412853,98
18.4662853,98
18.5912853,98
18.7162853,98
18.8412853,98
18.9662853,98
19.0912853,98
19.2162853,98
19.3412853,98
19.4662853,98
19.5912853,98
19.7162853,98
19.8412853,0
19.9662853,0
20.0912853,0
20.2162853,0
20.3412853,0
20.4662853,0
20.5912853,0
20.7162853,0
20.8412853,0
20.9662853,98
21.0912853,98
21.2162853,0
21.3412853,98
21.4662853,98
21.5912853,0
21.7162853,0
21.8412853,0
21.9662853,0
22.0912853,0
22.2162853,0
22.3412853,0
22.4662853,0
22.5912853,0
22.7162853,0
22.8412853,0
22.9662853,0
23.0912853,0
23.2162853,0
23.3412853,0
23.4662853,0
23.5912853,0
23.7162853,0
23.8412853,0
23.9662853,0
24.0912853,0
24.2162853,0
24.3412853,0
24.4662853,0
24.5912853,0
24.7162853,0
24.8412853,0
24.9662853,0
25.0912853,0
25.2162853,0
25.3412853,0
25.4662853,0
25.5912853,0
25.7162853,0
25.8412853,0
25.9662853,0
26.0912853,0
26.2162853,0
26.3412853,0
26.4662853,0
26.5912853,0
26.7162853,0
26.8412853,0
26.9662853,0
27.0912853,0
27.2162853,0
27.3412853,0
27.4662853,0
27.5912853,0
27.7162853,0
27.8412853,0
27.9662853,0
28.0912853,0
28.2162853,0
28.3412853,0
28.4662853,0
28.5912853,0
28.7162853,0
28.8412853,0
28.9662853,0
29.0912853,0
29.2162853,0
29.3412853,0
29.4662853,0
29.5912853,0
29.7162853,0
29.8412853,0
29.9662853,0
30.0912853,0
30.2162853,0
30.3412853,0
30.4662853,0
30.5912853,0
30.7162853,0
30.8412853,0
30.9662853,0
31.0912853,0
31.2162853,0
31.3412853,0
31.4662853,0
31.5912853,0
31.7162853,0
31.8412853,0
31.9662853,0
32.0912853,0
32.2162853,0
32.3412853,0
32.4662853,0
32.5912853,0
32.7162853,0
32.8412853,0
32.9662853,0
33.0912853,0
33.2162853,0
33.3412853,0
33.4662853,0
33.5912853,0
33.7162853,0
33.8412853,0
33.9662853,0
34.0912853,0
