Time(s),Value(%)
0.0912853,-10.3400001525879
0.1069103,-13.8299999237061
0.1225353,-15.8999996185303
0.1381603,-16.5499992370605
0.1537853,-15.9899997711182
0.1694103,-14.6999998092651
0.1850353,-13.2200002670288
0.2006603,-12
0.2162853,-11.3000001907349
0.2319103,-11.2399997711182
0.2475353,-11.789999961853
0.2631603,-12.7200002670288
0.2787853,-13.8199996948242
0.2944103,-15.0100002288818
0.3100353,-16.2800006866455
0.3256603,-17.5499992370605
0.3412853,-18.8199996948242
0.3569103,-20.0799999237061
0.3725353,-21.2700004577637
0.3881603,-22.2999992370605
0.4037853,-23.0699996948242
0.4194103,-23.4200000762939
0.4350353,-22.9099998474121
0.4506603,-20.5300006866455
0.4662853,-14.8199996948242
0.4819103,-4.67000007629395
0.4975353,9.69999980926514
0.5131603,26.3600006103516
0.5287853,42.1199989318848
0.5444103,53.8499984741211
0.5600353,59.4599990844727
0.5756603,58.5400009155273
0.5912853,52.2400016784668
0.6069103,42.689998626709
0.6225353,32.0499992370605
0.6381603,21.7700004577637
0.6537853,12.460000038147
0.6694103,4.32000017166138
0.6850353,-2.55999994277954
0.7006603,-8.10999965667725
0.7162853,-12.1400003433228
0.7319103,-14.4899997711182
0.7475353,-15.1700000762939
0.7631603,-14.3900003433228
0.7787853,-12.6000003814697
0.7944103,-10.3999996185303
0.8100353,-8.40999984741211
0.8256603,-7.1100001335144
0.8412853,-6.6399998664856
0.8569103,-6.8899998664856
0.8725353,-7.71000003814697
0.8881603,-8.94999980926514
0.9037853,-10.4799995422363
0.9194103,-12.1599998474121
0.9350353,-13.8100004196167
0.9506603,-15.2700004577637
0.9662853,-16.4300003051758
0.9819103,-17.3099994659424
0.9975353,-18
1.0131603,-18.5200004577637
1.0287853,-18.3400001525879
1.0444103,-16.1299991607666
1.0600353,-10.1499996185303
1.0756603,0.610000014305115
1.0912853,15.289999961853
1.1069103,31.0499992370605
1.1225353,44.439998626709
1.1381603,52.8400001525879
1.1537853,55.2400016784668
1.1694103,52.1300010681152
1.1850353,45.0200004577637
1.2006603,35.7599983215332
1.2162853,26
1.2319103,16.8199996948242
1.2475353,8.57999992370605
1.2631603,1.13999998569489
1.2787853,-5.67999982833862
1.2944103,-11.7200002670288
1.3100353,-16.4099998474121
1.3256603,-19.1800003051758
1.3412853,-19.8500003814697
1.3569103,-18.6900005340576
1.3725353,-16.2900009155273
1.3881603,-13.460000038147
1.4037853,-11.039999961853
1.4194103,-9.68000030517578
1.4350353,-9.73999977111816
1.4506603,-11.1199998855591
1.4662853,-13.25
1.4819103,-15.5
1.4975353,-17.5
1.5131603,-19.25
1.5287853,-20.9500007629395
1.5444103,-22.7000007629395
1.5600353,-24.4099998474121
1.5756603,-25.8500003814697
1.5912853,-26.7000007629395
1.6069103,-26.4599990844727
1.6225353,-23.9599990844727
1.6381603,-17.2000007629395
1.6537853,-4.78000020980835
1.6694103,12.4200000762939
1.6850353,31.2700004577637
1.7006603,47.7599983215332
1.7162853,58.6800003051758
1.7319103,62.6399993896484
1.7475353,60.1100006103516
1.7631603,52.810001373291
1.7787853,42.7599983215332
1.7944103,31.7099990844727
1.8100353,21.0499992370605
1.8256603,11.6099996566772
1.8412853,3.48000001907349
1.8569103,-3.51999998092651
