Time(s),Value(℃)
0.0912853,19.1700000762939
0.1069103,19.1700000762939
0.1225353,19.1700000762939
0.1381603,19.1800003051758
0.1537853,19.1800003051758
0.1694103,19.1700000762939
0.1850353,19.1700000762939
0.2006603,19.1599998474121
0.2162853,19.1499996185303
0.2319103,19.1399993896484
0.2475353,19.1299991607666
0.2631603,19.1200008392334
0.2787853,19.1000003814697
0.2944103,19.0900001525879
0.3100353,19.0699996948242
0.3256603,19.0499992370605
0.3412853,19.0400009155273
0.3569103,19.0200004577637
0.3725353,19
0.3881603,18.9799995422363
0.4037853,18.9699993133545
0.4194103,18.9500007629395
0.4350353,18.9300003051758
0.4506603,18.9099998474121
0.4662853,18.8899993896484
0.4819103,18.8799991607666
0.4975353,18.8600006103516
0.5131603,18.8400001525879
0.5287853,18.8299999237061
0.5444103,18.8099994659424
0.5600353,18.7900009155273
0.5756603,18.7800006866455
0.5912853,18.7600002288818
0.6069103,18.7399997711182
0.6225353,18.7299995422363
0.6381603,18.7099990844727
0.6537853,18.7000007629395
0.6694103,18.6800003051758
0.6850353,18.6700000762939
0.7006603,18.6499996185303
0.7162853,18.6299991607666
0.7319103,18.6100006103516
0.7475353,18.6000003814697
0.7631603,18.5699996948242
0.7787853,18.5499992370605
0.7944103,18.5300006866455
0.8100353,18.5100002288818
0.8256603,18.4799995422363
0.8412853,18.4599990844727
0.8569103,18.4400005340576
0.8725353,18.4099998474121
0.8881603,18.3899993896484
0.9037853,18.3700008392334
0.9194103,18.3500003814697
0.9350353,18.3299999237061
0.9506603,18.3199996948242
0.9662853,18.2999992370605
0.9819103,18.2900009155273
0.9975353,18.2700004577637
1.0131603,18.2600002288818
1.0287853,18.25
1.0444103,18.2399997711182
1.0600353,18.2399997711182
1.0756603,18.2299995422363
1.0912853,18.2299995422363
1.1069103,18.2299995422363
1.1225353,18.2199993133545
1.1381603,18.2199993133545
1.1537853,18.2299995422363
1.1694103,18.2299995422363
1.1850353,18.2299995422363
1.2006603,18.2399997711182
1.2162853,18.2399997711182
1.2319103,18.25
1.2475353,18.2600002288818
1.2631603,18.2700004577637
1.2787853,18.2800006866455
1.2944103,18.2800006866455
1.3100353,18.2900009155273
1.3256603,18.2999992370605
1.3412853,18.3099994659424
1.3569103,18.3199996948242
1.3725353,18.3299999237061
1.3881603,18.3400001525879
1.4037853,18.3500003814697
1.4194103,18.3600006103516
1.4350353,18.3700008392334
1.4506603,18.3799991607666
1.4662853,18.3899993896484
1.4819103,18.3999996185303
1.4975353,18.4099998474121
1.5131603,18.4200000762939
1.5287853,18.4300003051758
1.5444103,18.4300003051758
1.5600353,18.4400005340576
1.5756603,18.4500007629395
1.5912853,18.4599990844727
1.6069103,18.4699993133545
1.6225353,18.4799995422363
1.6381603,18.4899997711182
1.6537853,18.5100002288818
1.6694103,18.5200004577637
1.6850353,18.5400009155273
1.7006603,18.5499992370605
1.7162853,18.5699996948242
1.7319103,18.5900001525879
1.7475353,18.6200008392334
1.7631603,18.6399993896484
1.7787853,18.6599998474121
1.7944103,18.6800003051758
1.8100353,18.7000007629395
1.8256603,18.7199993133545
1.8412853,18.7399997711182
1.8569103,18.7600002288818
1.8725353,18.7800006866455
1.8881603,18.7999992370605
1.9037853,18.8199996948242
1.9194103,18.8400001525879
1.9350353,18.8500003814697
1.9506603,18.8700008392334
1.9662853,18.8799991607666
1.9819103,18.8899993896484
1.9975353,18.9099998474121
2.0131603,18.9200000762939
2.0287853,18.9300003051758
2.0444103,18.9400005340576
2.0600353,18.9500007629395
2.0756603,18.9599990844727
2.0912853,18.9699993133545
2.1069103,18.9799995422363
2.1225353,18.9799995422363
2.1381603,18.9899997711182
2.1537853,18.9899997711182
2.1694103,18.9899997711182
2.1850353,19
2.2006603,19
2.2162853,19
2.2319103,19.0100002288818
2.2475353,19.0100002288818
2.2631603,19.0100002288818
2.2787853,19.0100002288818
2.2944103,19.0100002288818
2.3100353,19.0100002288818
2.3256603,19.0100002288818
2.3412853,19.0100002288818
2.3569103,19.0100002288818
2.3725353,19
2.3881603,19
2.4037853,18.9899997711182
2.4194103,18.9899997711182
2.4350353,18.9799995422363
2.4506603,18.9699993133545
2.4662853,18.9599990844727
2.4819103,18.9599990844727
2.4975353,18.9500007629395
2.5131603,18.9400005340576
2.5287853,18.9300003051758
2.5444103,18.9300003051758
2.5600353,18.9200000762939
2.5756603,18.9099998474121
2.5912853,18.8999996185303
2.6069103,18.8899993896484
2.6225353,18.8799991607666
2.6381603,18.8700008392334
2.6537853,18.8600006103516
2.6694103,18.8400001525879
2.6850353,18.8299999237061
2.7006603,18.8099994659424
2.7162853,18.7999992370605
2.7319103,18.7800006866455
2.7475353,18.7600002288818
2.7631603,18.7399997711182
2.7787853,18.7199993133545
2.7944103,18.7000007629395
2.8100353,18.6800003051758
2.8256603,18.6599998474121
2.8412853,18.6399993896484
2.8569103,18.6299991607666
2.8725353,18.6100006103516
2.8881603,18.6000003814697
2.9037853,18.5900001525879
2.9194103,18.5799999237061
2.9350353,18.5699996948242
2.9506603,18.5699996948242
2.9662853,18.5599994659424
2.9819103,18.5599994659424
2.9975353,18.5599994659424
3.0131603,18.5599994659424
3.0287853,18.5699996948242
3.0444103,18.5699996948242
3.0600353,18.5799999237061
3.0756603,18.5799999237061
3.0912853,18.5900001525879
3.1069103,18.5900001525879
3.1225353,18.6000003814697
3.1381603,18.6100006103516
3.1537853,18.6200008392334
3.1694103,18.6299991607666
3.1850353,18.6399993896484
3.2006603,18.6499996185303
3.2162853,18.6599998474121
3.2319103,18.6700000762939
3.2475353,18.6900005340576
3.2631603,18.7000007629395
3.2787853,18.7199993133545
3.2944103,18.7299995422363
3.3100353,18.75
3.3256603,18.7600002288818
3.3412853,18.7800006866455
3.3569103,18.7900009155273
3.3725353,18.8099994659424
3.3881603,18.8299999237061
3.4037853,18.8400001525879
3.4194103,18.8600006103516
3.4350353,18.8700008392334
3.4506603,18.8899993896484
3.4662853,18.8999996185303
3.4819103,18.9099998474121
3.4975353,18.9200000762939
3.5131603,18.9400005340576
3.5287853,18.9500007629395
3.5444103,18.9599990844727
3.5600353,18.9799995422363
3.5756603,18.9899997711182
3.5912853,19.0100002288818
3.6069103,19.0200004577637
3.6225353,19.0400009155273
3.6381603,19.0499992370605
3.6537853,19.0699996948242
3.6694103,19.0900001525879
3.6850353,19.1100006103516
3.7006603,19.1299991607666
3.7162853,19.1499996185303
3.7319103,19.1700000762939
3.7475353,19.1900005340576
3.7631603,19.2099990844727
3.7787853,19.2299995422363
3.7944103,19.2399997711182
3.8100353,19.2600002288818
3.8256603,19.2700004577637
3.8412853,19.2800006866455
3.8569103,19.2900009155273
3.8725353,19.2999992370605
3.8881603,19.3099994659424
3.9037853,19.3199996948242
3.9194103,19.3299999237061
3.9350353,19.3299999237061
3.9506603,19.3400001525879
3.9662853,19.3500003814697
3.9819103,19.3600006103516
3.9975353,19.3600006103516
4.0131603,19.3700008392334
4.0287853,19.3799991607666
4.0444103,19.3899993896484
4.0600353,19.3999996185303
4.0756603,19.4099998474121
4.0912853,19.4200000762939
4.1069103,19.4300003051758
4.1225353,19.4400005340576
4.1381603,19.4500007629395
4.1537853,19.4599990844727
4.1694103,19.4699993133545
4.1850353,19.4799995422363
4.2006603,19.4899997711182
4.2162853,19.5
4.2319103,19.5100002288818
4.2475353,19.5300006866455
4.2631603,19.5400009155273
4.2787853,19.5499992370605
4.2944103,19.5699996948242
4.3100353,19.5799999237061
4.3256603,19.5900001525879
4.3412853,19.6100006103516
4.3569103,19.6200008392334
4.3725353,19.6399993896484
4.3881603,19.6499996185303
4.4037853,19.6700000762939
4.4194103,19.6800003051758
4.4350353,19.7000007629395
4.4506603,19.7099990844727
4.4662853,19.7199993133545
4.4819103,19.7299995422363
4.4975353,19.7399997711182
4.5131603,19.75
4.5287853,19.7600002288818
