Time(s),Value(bpm)
0.0912853,82
0.2162853,82
0.3412853,82
0.4662853,82
0.5912853,82
0.7162853,82
0.8412853,82
0.9662853,82
1.0912853,82
1.2162853,82
1.3412853,82
1.4662853,82
1.5912853,82
1.7162853,82
1.8412853,82
1.9662853,82
2.0912853,82
2.2162853,82
2.3412853,82
2.4662853,82
2.5912853,82
2.7162853,82
2.8412853,82
2.9662853,82
3.0912853,82
3.2162853,82
3.3412853,82
3.4662853,83
3.5912853,83
3.7162853,83
3.8412853,83
3.9662853,83
4.0912853,83
4.2162853,83
4.3412853,83
4.4662853,83
4.5912853,83
4.7162853,83
4.8412853,83
4.9662853,83
5.0912853,83
5.2162853,83
5.3412853,83
5.4662853,83
5.5912853,84
5.7162853,84
5.8412853,84
5.9662853,84
6.0912853,84
6.2162853,84
6.3412853,84
6.4662853,84
6.5912853,84
6.7162853,84
6.8412853,84
6.9662853,0
7.0912853,0
7.2162853,0
7.3412853,0
7.4662853,0
7.5912853,0
7.7162853,0
7.8412853,0
7.9662853,0
8.0912853,0
8.2162853,0
8.3412853,0
8.4662853,0
8.5912853,0
8.7162853,0
8.8412853,0
8.9662853,0
9.0912853,0
9.2162853,0
9.3412853,0
9.4662853,0
9.5912853,0
9.7162853,0
9.8412853,0
9.9662853,0
10.0912853,0
10.2162853,0
10.3412853,0
10.4662853,0
10.5912853,0
10.7162853,0
10.8412853,0
10.9662853,0
11.0912853,0
11.2162853,0
11.3412853,0
11.4662853,0
11.5912853,0
11.7162853,0
11.8412853,0
11.9662853,0
12.0912853,0
12.2162853,0
12.3412853,0
12.4662853,0
12.5912853,0
12.7162853,0
12.8412853,0
12.9662853,0
13.0912853,0
13.2162853,0
13.3412853,0
13.4662853,0
13.5912853,0
13.7162853,0
13.8412853,0
13.9662853,0
14.0912853,0
14.2162853,0
14.3412853,0
14.4662853,0
14.5912853,0
14.7162853,0
14.8412853,0
14.9662853,0
15.0912853,0
15.2162853,0
15.3412853,0
15.4662853,0
15.5912853,0
15.7162853,0
15.8412853,80
15.9662853,80
16.0912853,80
16.2162853,80
16.3412853,80
16.4662853,80
16.5912853,80
16.7162853,80
16.8412853,81
16.9662853,81
17.0912853,81
17.2162853,82
17.3412853,82
17.4662853,82
17.5912853,83
17.7162853,83
17.8412853,83
17.9662853,83
18.0912853,83
18.2162853,83
18.3412853,83
18.4662853,83
18.5912853,83
18.7162853,83
18.8412853,83
18.9662853,83
19.0912853,83
19.2162853,83
19.3412853,83
19.4662853,83
19.5912853,83
19.7162853,83
19.8412853,83
19.9662853,83
20.0912853,83
20.2162853,83
20.3412853,83
20.4662853,83
20.5912853,83
20.7162853,83
20.8412853,83
20.9662853,83
21.0912853,83
