Time(s),Value(bpm)
390.0479892,84
390.1729892,84
390.2979892,84
390.4229892,84
390.5479892,84
390.6729892,84
390.7979892,84
390.9229892,84
391.0479892,84
391.1729892,84
391.2979892,84
391.4229892,84
391.5479892,84
391.6729892,84
391.7979892,84
391.9229892,84
392.0479892,84
392.1729892,84
392.2979892,84
392.4229892,84
392.5479892,84
392.6729892,84
392.7979892,84
392.9229892,84
393.0479892,84
393.1729892,84
393.2979892,84
393.4229892,84
393.5479892,84
393.6729892,84
393.7979892,84
393.9229892,84
394.0479892,84
394.1729892,84
394.2979892,84
394.4229892,84
394.5479892,84
394.6729892,84
394.7979892,84
394.9229892,84
395.0479892,84
395.1729892,84
395.2979892,84
395.4229892,84
395.5479892,84
395.6729892,84
395.7979892,84
395.9229892,84
396.0479892,84
396.1729892,84
396.2979892,84
396.4229892,84
396.5479892,84
396.6729892,84
396.7979892,84
396.9229892,84
397.0479892,84
397.1729892,84
397.2979892,84
397.4229892,84
397.5479892,84
397.6729892,84
397.7979892,84
397.9229892,84
398.0479892,84
398.1729892,84
398.2979892,84
398.4229892,84
398.5479892,84
398.6729892,84
398.7979892,84
398.9229892,84
399.0479892,84
399.1729892,84
399.2979892,84
399.4229892,84
399.5479892,84
399.6729892,84
399.7979892,84
399.9229892,84
400.0479892,84
400.1729892,84
400.2979892,84
400.4229892,84
400.5479892,84
400.6729892,84
400.7979892,84
400.9229892,84
401.0479892,84
401.1729892,84
401.2979892,84
401.4229892,84
401.5479892,84
401.6729892,84
401.7979892,84
401.9229892,84
402.0479892,84
402.1729892,84
402.2979892,84
402.4229892,84
402.5479892,84
402.6729892,84
402.7979892,84
402.9229892,84
403.0479892,84
403.1729892,84
403.2979892,85
403.4229892,85
403.5479892,85
403.6729892,85
403.7979892,85
403.9229892,85
404.0479892,85
404.1729892,85
404.2979892,85
404.4229892,85
404.5479892,85
404.6729892,85
404.7979892,85
404.9229892,85
405.0479892,85
405.1729892,85
405.2979892,85
405.4229892,85
405.5479892,85
405.6729892,85
405.7979892,86
405.9229892,86
406.0479892,86
406.1729892,86
406.2979892,86
406.4229892,86
406.5479892,86
406.6729892,86
406.7979892,86
406.9229892,86
407.0479892,86
407.1729892,87
407.2979892,87
407.4229892,87
407.5479892,87
407.6729892,87
407.7979892,87
407.9229892,87
408.0479892,87
408.1729892,87
408.2979892,87
408.4229892,87
408.5479892,88
408.6729892,88
408.7979892,88
408.9229892,88
