Time(s),Value(%)
58.0134825,-15.4700002670288
58.0291075,-12.6000003814697
58.0447325,-10.1999998092651
58.0603575,-8.35000038146973
58.0759825,-6.53999996185303
58.0916075,-3.01999998092651
58.1072325,4.76999998092651
58.1228575,18.2000007629395
58.1384825,35.7799987792969
58.1541075,53.4199981689453
58.1697325,66.4100036621094
58.1853575,71.5
58.2009825,68.25
58.2166075,58.8300018310547
58.2322325,46.6800003051758
58.2478575,34.8400001525879
58.2634825,24.7700004577637
58.2791075,16.25
58.2947325,8.21000003814697
58.3103575,-0.219999998807907
58.3259825,-9.0
58.3416075,-17.0
58.3572325,-22.7099990844727
58.3728575,-25.2000007629395
58.3884825,-24.6700000762939
58.4041075,-22.1900005340576
58.4197325,-19.0599994659424
58.4353575,-16.2199993133545
58.4509825,-14.0600004196167
58.4666075,-12.6400003433228
58.4822325,-11.9200000762939
58.4978575,-11.7600002288818
58.5134825,-11.9499998092651
58.5291075,-12.2700004577637
58.5447325,-12.5699996948242
58.5603575,-12.6700000762939
58.5759825,-12.4200000762939
58.5916075,-11.8000001907349
58.6072325,-10.8900003433228
58.6228575,-9.63000011444092
58.6384825,-7.3899998664856
58.6541075,-2.65000009536743
58.6697325,6.30999994277954
58.6853575,19.9599990844727
58.7009825,36.3199996948242
58.7166075,51.3800010681152
58.7322325,61.0800018310547
58.7478575,63.3499984741211
58.7634825,58.7599983215332
58.7791075,49.7700004577637
58.7947325,39.3600006103516
58.8103575,29.7700004577637
58.8259825,21.9300003051758
58.8416075,15.3900003433228
58.8572325,8.92000007629395
58.8728575,1.54999995231628
58.8884825,-6.71999979019165
58.9041075,-15.0100002288818
58.9197325,-22.0100002288818
58.9353575,-26.75
58.9509825,-28.9400005340576
58.9666075,-28.8799991607666
58.9822325,-27.2099990844727
58.9978575,-24.6599998474121
59.0134825,-21.9599990844727
59.0291075,-19.6200008392334
59.0447325,-17.8700008392334
59.0603575,-17.0200004577637
59.0759825,-17.5300006866455
59.0916075,-19.5100002288818
59.1072325,-22.3700008392334
59.1228575,-25.0
59.1384825,-26.4200000762939
59.1541075,-26.2399997711182
59.1697325,-24.8999996185303
59.1853575,-22.9899997711182
59.2009825,-20.1100006103516
59.2166075,-14.3800001144409
59.2322325,-3.69000005722046
59.2478575,11.9899997711182
59.2634825,29.8099994659424
59.2791075,45.3800010681152
59.2947325,55.060001373291
59.3103575,57.5299987792969
59.3259825,53.810001373291
59.3416075,46.1500015258789
59.3572325,36.7700004577637
59.3728575,27.0499992370605
59.3884825,17.3999996185303
59.4041075,7.69999980926514
59.4197325,-2.0
59.4353575,-11.2200002670288
59.4509825,-19.1000003814697
59.4666075,-24.7900009155273
59.4822325,-27.8700008392334
59.4978575,-28.6200008392334
59.5134825,-27.8799991607666
59.5291075,-26.5799999237061
59.5447325,-25.3899993896484
59.5603575,-24.5499992370605
59.5759825,-24.0
59.5916075,-23.6299991607666
59.6072325,-23.3799991607666
59.6228575,-23.0599994659424
59.6384825,-22.3299999237061
59.6541075,-21.0499992370605
59.6697325,-19.5100002288818
59.6853575,-18.25
59.7009825,-17.7299995422363
59.7166075,-18.1200008392334
59.7322325,-19.2199993133545
59.7478575,-20.3700008392334
59.7634825,-20.2999992370605
59.7791075,-16.9899997711182
59.7947325,-8.35000038146973
59.8103575,6.07000017166138
59.8259825,24.0900001525879
59.8416075,41.3800010681152
59.8572325,53.7099990844727
59.8728575,59.0499992370605
59.8884825,58.1199989318848
59.9041075,53.25
59.9197325,46.6100006103516
59.9353575,39.310001373291
59.9509825,31.4200000762939
59.9666075,22.5599994659424
59.9822325,12.5600004196167
59.9978575,1.89999997615814
60.0134825,-8.35999965667725
60.0291075,-16.9500007629395
60.0447325,-22.9200000762939
60.0603575,-26.0200004577637
60.0759825,-26.7299995422363
60.0916075,-25.9300003051758
60.1072325,-24.6299991607666
60.1228575,-23.5799999237061
60.1384825,-23.1200008392334
60.1541075,-23.1900005340576
60.1697325,-23.5799999237061
60.1853575,-23.9899997711182
60.2009825,-24.1200008392334
60.2166075,-23.7199993133545
60.2322325,-22.7800006866455
60.2478575,-21.5400009155273
60.2634825,-20.4500007629395
60.2791075,-20.0599994659424
60.2947325,-20.5400009155273
60.3103575,-21.5
60.3259825,-22.0100002288818
60.3416075,-20.3899993896484
60.3572325,-14.2700004577637
60.3728575,-1.88999998569489
60.3884825,16.0699996948242
60.4041075,36.0400009155273
60.4197325,52.9900016784668
60.4353575,62.9900016784668
60.4509825,64.7900009155273
60.4666075,59.7700004577637
60.4822325,50.75
60.4978575,40.3899993896484
60.5134825,30.2600002288818
60.5291075,20.8400001525879
60.5447325,12.0200004577637
60.5603575,3.50999999046326
60.5759825,-4.6399998664856
60.5916075,-11.7399997711182
60.6072325,-16.7000007629395
60.6228575,-18.7999992370605
60.6384825,-18.2099990844727
60.6541075,-16.0499992370605
60.6697325,-13.8599996566772
60.6853575,-12.8599996566772
60.7009825,-13.5699996948242
60.7166075,-15.6499996185303
60.7322325,-18.1000003814697
60.7478575,-19.7800006866455
60.7634825,-20.1599998474121
60.7791075,-19.6299991607666
60.7947325,-19.0200004577637
60.8103575,-18.8299999237061
60.8259825,-19.1599998474121
60.8416075,-19.9599990844727
60.8572325,-21.1000003814697
60.8728575,-22.3099994659424
60.8884825,-23.2099990844727
60.9041075,-23.3199996948242
60.9197325,-21.9799995422363
60.9353575,-18.0100002288818
60.9509825,-9.64000034332275
60.9666075,4.36999988555908
60.9822325,23.0799999237061
60.9978575,42.7700004577637
61.0134825,58.4799995422363
61.0291075,66.5899963378906
61.0447325,66.25
61.0603575,59.1500015258789
61.0759825,48.2700004577637
61.0916075,36.5800018310547
61.1072325,26.1200008392334
61.1228575,17.6399993896484
61.1384825,10.6300001144409
61.1541075,4.1100001335144
61.1697325,-2.39000010490417
61.1853575,-8.52000045776367
61.2009825,-13.6700000762939
61.2166075,-17.5900001525879
61.2322325,-20.3400001525879
61.2478575,-22.1399993896484
61.2634825,-23.1599998474121
61.2791075,-23.4799995422363
61.2947325,-23.0799999237061
61.3103575,-22.1000003814697
61.3259825,-20.8600006103516
