Time(s),Value(bpm)
0.1377443,66
0.2627443,66
0.3877443,66
0.5127443,66
0.6377443,66
0.7627443,66
0.8877443,66
1.0127443,66
1.1377443,66
1.2627443,66
1.3877443,66
1.5127443,66
1.6377443,57
1.7627443,57
1.8877443,57
2.0127443,57
2.1377443,57
2.2627443,57
2.3877443,57
2.5127443,57
2.6377443,57
2.7627443,57
2.8877443,57
3.0127443,57
3.1377443,57
3.2627443,57
3.3877443,57
3.5127443,57
3.6377443,57
3.7627443,57
3.8877443,57
4.0127443,57
4.1377443,57
4.2627443,64
4.3877443,64
4.5127443,64
4.6377443,64
4.7627443,64
4.8877443,64
5.0127443,64
5.1377443,64
5.2627443,64
5.3877443,64
5.5127443,64
5.6377443,64
5.7627443,64
5.8877443,64
6.0127443,68
6.1377443,68
6.2627443,68
6.3877443,68
6.5127443,68
6.6377443,68
6.7627443,68
6.8877443,68
7.0127443,68
7.1377443,68
7.2627443,68
7.3877443,68
7.5127443,68
7.6377443,68
7.7627443,68
7.8877443,68
8.0127443,68
8.1377443,68
8.2627443,68
8.3877443,68
8.5127443,68
8.6377443,66
8.7627443,66
8.8877443,66
9.0127443,66
9.1377443,66
9.2627443,66
9.3877443,66
9.5127443,65
9.6377443,65
9.7627443,65
9.8877443,65
10.0127443,65
10.1377443,65
10.2627443,65
10.3877443,66
10.5127443,66
10.6377443,66
10.7627443,66
10.8877443,66
11.0127443,66
11.1377443,66
11.2627443,66
11.3877443,66
11.5127443,66
11.6377443,66
11.7627443,66
11.8877443,66
12.0127443,66
12.1377443,65
12.2627443,65
12.3877443,65
12.5127443,65
12.6377443,65
12.7627443,65
12.8877443,65
13.0127443,65
13.1377443,65
13.2627443,65
13.3877443,65
13.5127443,65
13.6377443,65
13.7627443,65
13.8877443,68
14.0127443,68
14.1377443,68
14.2627443,68
14.3877443,68
14.5127443,68
14.6377443,68
14.7627443,68
14.8877443,68
15.0127443,68
15.1377443,68
15.2627443,68
15.3877443,68
15.5127443,68
15.6377443,68
15.7627443,68
15.8877443,68
16.0127443,68
16.1377443,68
16.2627443,68
16.3877443,68
16.5127443,69
16.6377443,69
16.7627443,69
16.8877443,69
17.0127443,69
17.1377443,69
17.2627443,69
17.3877443,69
17.5127443,69
17.6377443,69
17.7627443,69
17.8877443,69
18.0127443,69
18.1377443,69
18.2627443,69
18.3877443,69
18.5127443,69
18.6377443,69
18.7627443,69
18.8877443,69
19.0127443,69
19.1377443,69
19.2627443,68
19.3877443,68
19.5127443,68
19.6377443,68
19.7627443,68
19.8877443,68
20.0127443,68
20.1377443,68
20.2627443,68
20.3877443,68
20.5127443,68
20.6377443,68
20.7627443,68
20.8877443,68
21.0127443,68
21.1377443,68
21.2627443,68
21.3877443,68
21.5127443,68
21.6377443,68
21.7627443,68
21.8877443,49
22.0127443,49
22.1377443,49
22.2627443,49
22.3877443,49
22.5127443,49
22.6377443,49
22.7627443,49
22.8877443,49
23.0127443,49
23.1377443,49
23.2627443,49
23.3877443,49
23.5127443,49
23.6377443,49
23.7627443,49
23.8877443,49
24.0127443,49
24.1377443,49
24.2627443,49
24.3877443,49
24.5127443,49
24.6377443,49
24.7627443,49
24.8877443,49
25.0127443,49
25.1377443,49
25.2627443,49
25.3877443,49
25.5127443,49
25.6377443,49
25.7627443,49
25.8877443,49
26.0127443,49
26.1377443,49
26.2627443,49
26.3877443,49
26.5127443,49
26.6377443,49
26.7627443,49
26.8877443,49
27.0127443,49
27.1377443,49
27.2627443,49
27.3877443,49
27.5127443,49
27.6377443,49
27.7627443,49
27.8877443,49
28.0127443,49
28.1377443,49
28.2627443,66
28.3877443,66
28.5127443,66
28.6377443,66
28.7627443,66
28.8877443,66
29.0127443,66
29.1377443,66
29.2627443,106
29.3877443,106
29.5127443,106
29.6377443,106
29.7627443,106
29.8877443,106
30.0127443,106
30.1377443,67
30.2627443,67
30.3877443,67
30.5127443,67
30.6377443,67
30.7627443,67
30.8877443,67
31.0127443,67
31.1377443,67
31.2627443,67
31.3877443,67
31.5127443,67
31.6377443,67
31.7627443,67
31.8877443,67
32.0127443,67
32.1377443,67
32.2627443,67
32.3877443,67
32.5127443,67
32.6377443,67
32.7627443,67
32.8877443,67
33.0127443,65
33.1377443,65
33.2627443,65
33.3877443,65
33.5127443,65
33.6377443,65
33.7627443,65
33.8877443,65
34.0127443,65
34.1377443,65
34.2627443,65
34.3877443,65
34.5127443,65
34.6377443,65
34.7627443,65
34.8877443,65
35.0127443,65
35.1377443,65
35.2627443,65
35.3877443,65
35.5127443,65
35.6377443,65
35.7627443,65
35.8877443,65
36.0127443,65
36.1377443,65
36.2627443,65
36.3877443,65
36.5127443,65
36.6377443,65
36.7627443,65
36.8877443,65
37.0127443,65
37.1377443,65
37.2627443,65
37.3877443,65
37.5127443,65
37.6377443,65
37.7627443,65
37.8877443,65
38.0127443,65
38.1377443,65
38.2627443,65
38.3877443,65
38.5127443,62
38.6377443,62
38.7627443,62
38.8877443,62
39.0127443,62
39.1377443,62
39.2627443,62
39.3877443,62
39.5127443,62
39.6377443,62
39.7627443,62
39.8877443,62
40.0127443,62
40.1377443,62
40.2627443,62
40.3877443,64
40.5127443,64
40.6377443,64
40.7627443,64
40.8877443,64
41.0127443,64
41.1377443,64
41.2627443,64
41.3877443,64
41.5127443,64
41.6377443,64
41.7627443,64
41.8877443,64
42.0127443,64
42.1377443,64
42.2627443,64
42.3877443,64
42.5127443,64
42.6377443,64
42.7627443,64
42.8877443,68
43.0127443,68
43.1377443,68
43.2627443,68
43.3877443,68
43.5127443,68
43.6377443,68
43.7627443,68
43.8877443,68
44.0127443,68
44.1377443,68
44.2627443,68
44.3877443,68
44.5127443,68
44.6377443,68
44.7627443,68
44.8877443,68
45.0127443,64
45.1377443,64
45.2627443,64
45.3877443,64
45.5127443,64
45.6377443,64
45.7627443,64
45.8877443,66
46.0127443,66
46.1377443,66
46.2627443,66
46.3877443,66
46.5127443,66
46.6377443,66
46.7627443,66
46.8877443,65
47.0127443,65
47.1377443,65
47.2627443,65
47.3877443,65
47.5127443,65
47.6377443,66
47.7627443,66
47.8877443,66
48.0127443,66
48.1377443,66
48.2627443,66
48.3877443,66
48.5127443,66
48.6377443,66
48.7627443,66
48.8877443,66
49.0127443,66
49.1377443,66
49.2627443,66
49.3877443,66
49.5127443,66
49.6377443,66
49.7627443,66
49.8877443,66
50.0127443,66
50.1377443,66
50.2627443,66
50.3877443,67
50.5127443,67
50.6377443,67
50.7627443,67
50.8877443,67
51.0127443,67
51.1377443,67
51.2627443,67
51.3877443,67
51.5127443,67
51.6377443,67
51.7627443,67
51.8877443,67
52.0127443,67
52.1377443,67
52.2627443,67
52.3877443,67
52.5127443,67
52.6377443,67
52.7627443,67
52.8877443,67
53.0127443,67
53.1377443,67
53.2627443,67
53.3877443,67
53.5127443,67
53.6377443,67
53.7627443,67
53.8877443,67
54.0127443,67
54.1377443,67
54.2627443,67
54.3877443,67
54.5127443,67
54.6377443,67
54.7627443,67
54.8877443,66
55.0127443,66
55.1377443,66
55.2627443,66
55.3877443,66
55.5127443,66
55.6377443,66
55.7627443,67
55.8877443,67
56.0127443,67
56.1377443,67
56.2627443,67
56.3877443,67
56.5127443,67
56.6377443,67
56.7627443,66
56.8877443,66
57.0127443,66
57.1377443,66
57.2627443,66
57.3877443,66
57.5127443,66
57.6377443,66
57.7627443,66
57.8877443,66
58.0127443,66
58.1377443,66
58.2627443,66
58.3877443,66
58.5127443,66
58.6377443,66
58.7627443,66
58.8877443,66
59.0127443,66
59.1377443,66
59.2627443,66
59.3877443,66
59.5127443,67
59.6377443,67
59.7627443,67
59.8877443,67
60.0127443,67
60.1377443,67
60.2627443,67
60.3877443,66
60.5127443,66
60.6377443,66
60.7627443,66
60.8877443,66
61.0127443,66
61.1377443,66
61.2627443,66
61.3877443,66
61.5127443,66
61.6377443,66
61.7627443,66
61.8877443,66
62.0127443,66
62.1377443,66
62.2627443,66
62.3877443,66
62.5127443,66
62.6377443,66
62.7627443,66
62.8877443,66
63.0127443,66
63.1377443,66
63.2627443,66
63.3877443,66
63.5127443,66
63.6377443,66
63.7627443,66
63.8877443,66
64.0127443,66
64.1377443,66
64.2627443,66
64.3877443,66
64.5127443,66
64.6377443,66
64.7627443,66
64.8877443,66
65.0127443,66
65.1377443,66
65.2627443,66
65.3877443,66
65.5127443,66
65.6377443,66
65.7627443,64
65.8877443,64
66.0127443,64
66.1377443,64
66.2627443,64
66.3877443,64
66.5127443,64
66.6377443,64
66.7627443,64
66.8877443,64
67.0127443,64
67.1377443,64
67.2627443,64
67.3877443,64
67.5127443,64
67.6377443,64
67.7627443,64
67.8877443,64
68.0127443,64
68.1377443,64
68.2627443,64
68.3877443,66
68.5127443,66
68.6377443,66
68.7627443,66
68.8877443,66
69.0127443,66
69.1377443,66
69.2627443,66
69.3877443,66
69.5127443,66
69.6377443,66
69.7627443,66
69.8877443,66
70.0127443,66
70.1377443,69
70.2627443,69
70.3877443,69
70.5127443,69
70.6377443,69
70.7627443,69
70.8877443,69
71.0127443,69
71.1377443,69
71.2627443,69
71.3877443,69
71.5127443,69
71.6377443,69
71.7627443,69
71.8877443,67
72.0127443,67
72.1377443,67
72.2627443,67
72.3877443,67
72.5127443,67
72.6377443,67
72.7627443,67
72.8877443,67
73.0127443,67
73.1377443,67
73.2627443,67
73.3877443,67
73.5127443,67
73.6377443,68
73.7627443,68
73.8877443,68
74.0127443,68
74.1377443,68
74.2627443,68
74.3877443,68
74.5127443,67
74.6377443,67
74.7627443,67
74.8877443,67
75.0127443,67
75.1377443,67
75.2627443,67
75.3877443,68
75.5127443,68
75.6377443,68
75.7627443,68
75.8877443,68
76.0127443,68
76.1377443,68
76.2627443,68
76.3877443,68
76.5127443,68
76.6377443,68
76.7627443,68
76.8877443,68
77.0127443,68
77.1377443,68
77.2627443,68
77.3877443,68
77.5127443,68
77.6377443,68
77.7627443,68
77.8877443,68
78.0127443,68
78.1377443,68
78.2627443,68
78.3877443,68
78.5127443,68
78.6377443,68
78.7627443,68
78.8877443,68
79.0127443,68
79.1377443,68
79.2627443,68
79.3877443,68
79.5127443,68
79.6377443,68
79.7627443,68
79.8877443,68
80.0127443,65
80.1377443,65
80.2627443,65
80.3877443,65
80.5127443,65
80.6377443,65
80.7627443,65
80.8877443,65
81.0127443,65
81.1377443,65
81.2627443,65
81.3877443,65
81.5127443,65
81.6377443,65
81.7627443,66
81.8877443,66
