Time(s),Value(%)
0.0311039,-27.4200000762939
0.0467289,-24.7399997711182
0.0623539,-21.7700004577637
0.0779789,-18.75
0.0936039,-15.6800003051758
0.1092289,-12.5100002288818
0.1248539,-9.28999996185303
0.1404789,-6.19999980926514
0.1561039,-3.50999999046326
0.1717289,-1.45000004768372
0.1873539,-0.0700000002980232
0.2029789,0.800000011920929
0.2186039,1.45000004768372
0.2342289,2.07999992370605
0.2498539,2.82999992370605
0.2654789,3.70000004768372
0.2811039,4.69000005722046
0.2967289,5.76999998092651
0.3123539,6.8899998664856
0.3279789,7.86999988555908
0.3436039,8.55000019073486
0.3592289,8.60999965667725
0.3748539,8.02000045776367
0.3904789,7.21000003814697
0.4061039,6.86999988555908
0.4217289,7.55999994277954
0.4373539,9.23999977111816
0.4529789,11.4700002670288
0.4686039,13.8199996948242
0.4842289,16.1499996185303
0.4998539,18.5100002288818
0.5154789,20.9599990844727
0.5311039,23.5
0.5467289,26.1200008392334
0.5623539,28.9200000762939
0.5779789,31.9899997711182
0.5936039,35.3300018310547
0.6092289,38.7799987792969
0.6248539,42.0800018310547
0.6404789,45.0
0.6561039,47.4500007629395
0.6717289,49.5200004577637
0.6873539,51.3800010681152
0.7029789,53.1500015258789
0.7186039,54.7700004577637
0.7342289,56.0800018310547
0.7498539,56.9900016784668
0.7654789,57.560001373291
0.7811039,57.9300003051758
0.7967289,58.2299995422363
0.8123539,58.4700012207031
0.8279789,58.5900001525879
0.8436039,58.3699989318848
0.8592289,57.6399993896484
0.8748539,56.3499984741211
0.8904789,54.5099983215332
0.9061039,52.0900001525879
0.9217289,49.0800018310547
0.9373539,45.5699996948242
0.9529789,41.9199981689453
0.9686039,38.6800003051758
0.9842289,36.2299995422363
0.9998539,34.5400009155273
1.0154789,33.2700004577637
1.0311039,32.2099990844727
1.0467289,31.3199996948242
1.0623539,30.6900005340576
1.0779789,30.3099994659424
1.0936039,30.1000003814697
1.1092289,29.9500007629395
1.1248539,29.7900009155273
1.1404789,29.6200008392334
1.1561039,29.4500007629395
1.1717289,29.2199993133545
