Time(s),Value(%)
0.0041916,-73.5599975585938
0.0198166,-73.3600006103516
0.0354416,-70.9700012207031
0.0510666,-65.5899963378906
0.0666916,-54.6300010681152
0.0823166,-33.0200004577637
0.0979416,3.65000009536743
0.1135666,54.1599998474121
0.1291916,109.720001220703
0.1448166,157.350006103516
0.1604416,185.789993286133
0.1760666,190.399993896484
0.1916916,174.479995727539
0.2073166,146.899993896484
0.2229416,117.389999389648
0.2385666,92.4199981689453
0.2541916,73.6999969482422
0.2698166,59.0999984741211
0.2854416,44.8600006103516
0.3010666,27.9899997711182
0.3166916,7.94999980926514
0.3323166,-13.0900001525879
0.3479416,-31.8799991607666
0.3635666,-45.8800010681152
0.3791916,-54.3300018310547
0.3948166,-58.2200012207031
0.4104416,-59.25
0.4260666,-58.9599990844727
0.4416916,-58.4300003051758
0.4573166,-58.3699989318848
0.4729416,-59.1100006103516
0.4885666,-60.4599990844727
0.5041916,-61.7900009155273
0.5198166,-62.4700012207031
0.5354416,-62.3300018310547
0.5510666,-61.6399993896484
0.5666916,-60.810001373291
0.5823166,-60.1300010681152
0.5979416,-59.8499984741211
0.6135666,-60.1599998474121
0.6291916,-60.9599990844727
0.6448166,-61.75
0.6604416,-62.0
0.6760666,-61.4199981689453
0.6916916,-59.7000007629395
0.7073166,-55.6100006103516
0.7229416,-45.5900001525879
0.7385666,-23.9300003051758
0.7541916,13.6400003433228
0.7698166,65.120002746582
0.7854416,120.610000610352
0.8010666,166.199996948242
0.8166916,190.610000610352
0.8323166,190.070007324219
0.8479416,169.110000610352
0.8635666,137.039993286133
0.8791916,103.199996948242
0.8948166,73.5800018310547
0.9104416,49.9500007629395
0.9260666,30.9799995422363
0.9416916,14.1599998474121
0.9573166,-2.35999989509583
0.9729416,-18.6200008392334
0.9885666,-32.8699989318848
1.0041916,-42.9900016784668
1.0198166,-47.9599990844727
1.0354416,-48.5800018310547
1.0510666,-46.8499984741211
1.0666916,-44.9099998474121
1.0823166,-44.0099983215332
1.0979416,-44.4300003051758
1.1135666,-45.8600006103516
1.1291916,-47.9199981689453
1.1448166,-50.2099990844727
1.1604416,-52.2900009155273
1.1760666,-53.7400016784668
1.1916916,-54.2400016784668
1.2073166,-53.6100006103516
1.2229416,-52.1599998474121
1.2385666,-50.5499992370605
1.2541916,-49.2599983215332
1.2698166,-48.3699989318848
1.2854416,-48.0
1.3010666,-48.4500007629395
1.3166916,-49.7700004577637
1.3323166,-51.1800003051758
1.3479416,-50.7700004577637
1.3635666,-44.8600006103516
1.3791916,-27.8899993896484
1.3948166,4.78999996185303
1.4104416,52.4099998474121
1.4260666,106.569999694824
1.4416916,154.199996948242
1.4573166,183.639999389648
1.4729416,189.759994506836
1.4885666,175.169998168945
1.5041916,147.639999389648
1.5198166,116.040000915527
1.5354416,87.0800018310547
1.5510666,63.7099990844727
1.5666916,45.2299995422363
1.5823166,28.7000007629395
1.5979416,11.3400001525879
1.6135666,-7.65000009536743
1.6291916,-26.5599994659424
1.6448166,-42.2400016784668
1.6604416,-52.0099983215332
1.6760666,-55.0999984741211
1.6916916,-52.8400001525879
1.7073166,-47.9000015258789
1.7229416,-43.25
1.7385666,-41.0900001525879
1.7541916,-42.1800003051758
1.7698166,-45.8300018310547
1.7854416,-50.3400001525879
1.8010666,-54.0699996948242
1.8166916,-56.3300018310547
1.8323166,-57.3300018310547
1.8479416,-57.6199989318848
1.8635666,-57.5699996948242
1.8791916,-57.3600006103516
1.8948166,-57.1399993896484
1.9104416,-57.1500015258789
1.9260666,-57.439998626709
1.9416916,-57.7099990844727
1.9573166,-57.5200004577637
1.9729416,-56.3600006103516
1.9885666,-53.2200012207031
2.0041916,-45.3800010681152
2.0198166,-27.9300003051758
2.0354416,4.09999990463257
2.0510666,51.2999992370605
2.0666916,106.73999786377
2.0823166,157.789993286133
2.0979416,191.75
2.1135666,201.740005493164
2.1291916,189.119995117188
2.1448166,161.649993896484
2.1604416,129.240005493164
2.1760666,99.9400024414063
2.1916916,77.4100036621094
2.2073166,60.75
2.2229416,46.3800010681152
2.2385666,30.6499996185303
2.2541916,12.039999961853
2.2698166,-8.21000003814697
2.2854416,-27.2199993133545
2.3010666,-42.1500015258789
2.3166916,-51.5999984741211
2.3323166,-55.810001373291
2.3479416,-56.3300018310547
2.3635666,-55.3199996948242
2.3791916,-54.5699996948242
2.3948166,-54.9500007629395
2.4104416,-56.5999984741211
2.4260666,-59.4599990844727
2.4416916,-63.3499984741211
2.4573166,-67.7399978637695
2.4729416,-71.6500015258789
2.4885666,-74.0299987792969
2.5041916,-74.3499984741211
2.5198166,-72.870002746582
2.5354416,-70.4499969482422
2.5510666,-68.0
2.5666916,-66.0899963378906
2.5823166,-64.6800003051758
2.5979416,-63.25
2.6135666,-61.2400016784668
2.6291916,-58.3400001525879
2.6448166,-53.5
2.6604416,-43.0200004577637
2.6760666,-20.6499996185303
2.6916916,17.9799995422363
2.7073166,70.0400009155273
2.7229416,124.5
2.7385666,167.289993286133
2.7541916,188.339996337891
2.7698166,185.740005493164
2.7854416,164.940002441406
2.8010666,135.009994506836
2.8166916,104.589996337891
2.8323166,79.2399978637695
2.8479416,60.6199989318848
2.8635666,46.9300003051758
2.8791916,34.439998626709
2.8948166,19.7000007629395
2.9104416,1.71000003814697
2.9260666,-17.7199993133545
2.9416916,-35.4000015258789
2.9573166,-48.4900016784668
2.9729416,-55.7799987792969
2.9885666,-57.8899993896484
3.0041916,-56.7099990844727
3.0198166,-54.4000015258789
3.0354416,-52.6399993896484
3.0510666,-52.3699989318848
3.0666916,-54.0
3.0823166,-57.4500007629395
3.0979416,-62.060001373291
3.1135666,-66.8600006103516
3.1291916,-71.1100006103516
3.1448166,-74.4599990844727
3.1604416,-76.7399978637695
3.1760666,-77.7699966430664
3.1916916,-77.4599990844727
3.2073166,-76.0199966430664
3.2229416,-73.9800033569336
3.2385666,-71.9800033569336
3.2541916,-70.5800018310547
3.2698166,-69.7099990844727
3.2854416,-67.9700012207031
3.3010666,-61.6599998474121
3.3166916,-45.1199989318848
3.3323166,-13.4899997711182
3.3479416,32.9599990844727
3.3635666,86.9300003051758
3.3791916,136.410003662109
3.3948166,170.039993286133
3.4104416,181.710006713867
3.4260666,172.429992675781
3.4416916,148.789993286133
3.4573166,119.419998168945
3.4729416,91.4800033569336
3.4885666,68.6900024414063
3.5041916,51.0800018310547
3.5198166,36.0099983215332
3.5354416,20.3899993896484
3.5510666,2.86999988555908
3.5666916,-15.3500003814697
3.5823166,-31.4500007629395
3.5979416,-42.7400016784668
3.6135666,-48.0
3.6291916,-47.8600006103516
3.6448166,-44.3600006103516
3.6604416,-40.1699981689453
3.6760666,-37.4199981689453
3.6916916,-37.0999984741211
3.7073166,-39.1100006103516
3.7229416,-42.6699981689453
3.7385666,-46.7999992370605
3.7541916,-50.689998626709
3.7698166,-53.939998626709
3.7854416,-56.6399993896484
3.8010666,-59.1199989318848
3.8166916,-61.560001373291
3.8323166,-63.7200012207031
3.8479416,-65.0199966430664
3.8635666,-65.0599975585938
3.8791916,-63.8699989318848
3.8948166,-61.7999992370605
3.9104416,-59.0
3.9260666,-54.3300018310547
3.9416916,-44.1800003051758
3.9573166,-23.0900001525879
3.9729416,12.539999961853
3.9885666,60.3800010681152
4.0041916,111.300003051758
4.0198166,153.0
4.0354416,175.850006103516
4.0510666,176.949996948242
4.0666916,160.470001220703
4.0823166,134.679992675781
4.0979416,107.98999786377
4.1135666,85.8300018310547
4.1291916,69.1399993896484
4.1448166,55.0499992370605
4.1604416,39.6500015258789
4.1760666,20.8899993896484
4.1916916,-0.0599999986588955
4.2073166,-19.8299999237061
4.2229416,-34.9199981689453
4.2385666,-43.6599998474121
4.2541916,-46.7900009155273
4.2698166,-46.4900016784668
4.2854416,-44.9700012207031
4.3010666,-43.5099983215332
4.3166916,-42.560001373291
4.3323166,-42.3300018310547
4.3479416,-43.0499992370605
4.3635666,-44.8899993896484
4.3791916,-47.7299995422363
4.3948166,-51.0900001525879
4.4104416,-54.2299995422363
4.4260666,-56.4900016784668
4.4416916,-57.6699981689453
4.4573166,-58.25
4.4729416,-59.1800003051758
4.4885666,-61.1500015258789
4.5041916,-63.9599990844727
4.5198166,-66.5100021362305
4.5354416,-67.7600021362305
4.5510666,-67.3000030517578
4.5666916,-64.3499984741211
4.5823166,-55.9900016784668
4.5979416,-36.7400016784668
4.6135666,-1.64999997615814
4.6291916,48.5699996948242
4.6448166,105.23999786377
4.6604416,154.759994506836
4.6760666,185.289993286133
4.6916916,192.199996948242
4.7073166,179.190002441406
4.7229416,155.190002441406
4.7385666,129.369995117188
4.7541916,107.550003051758
4.7698166,91.0899963378906
4.7854416,78.0500030517578
4.8010666,65.0199966430664
4.8166916,48.7900009155273
4.8323166,27.9799995422363
4.8479416,4.1399998664856
4.8635666,-18.7299995422363
4.8791916,-36.4799995422363
4.8948166,-47.0699996948242
4.9104416,-51.1800003051758
4.9260666,-51.2099990844727
4.9416916,-49.8300018310547
4.9573166,-48.9199981689453
4.9729416,-49.3199996948242
4.9885666,-51.0099983215332
5.0041916,-53.5800018310547
5.0198166,-56.5699996948242
5.0354416,-59.7200012207031
5.0510666,-63.0299987792969
5.0666916,-66.5500030517578
5.0823166,-70.1100006103516
5.0979416,-73.2900009155273
5.1135666,-75.620002746582
5.1291916,-76.8099975585938
5.1448166,-76.7900009155273
5.1604416,-75.6800003051758
5.1760666,-73.8499984741211
5.1916916,-71.9499969482422
5.2073166,-70.3199996948242
5.2229416,-67.8399963378906
5.2385666,-60.5699996948242
5.2541916,-42.2299995422363
5.2698166,-7.78999996185303
5.2854416,41.7099990844727
5.3010666,97.4199981689453
5.3166916,146.059997558594
5.3323166,176.309997558594
5.3479416,183.75
5.3635666,171.729995727539
5.3791916,148.449996948242
5.3948166,122.550003051758
5.4104416,99.6900024414063
5.4260666,81.4599990844727
5.4416916,66.3300018310547
5.4573166,51.5200004577637
5.4729416,34.7599983215332
5.4885666,15.4099998474121
5.5041916,-5.28000020980835
5.5198166,-24.5699996948242
5.5354416,-39.6100006103516
5.5510666,-49.0
5.5666916,-53.4500007629395
5.5823166,-55.1100006103516
5.5979416,-56.1500015258789
5.6135666,-57.6699981689453
5.6291916,-59.5999984741211
