Time(s),Value(%)
0.2312588,0.0
0.2468838,0.0
0.2625088,0.0
0.2781338,0.0
0.2937588,0.0
0.3093838,0.0
0.3250088,0.0
0.3406338,0.0
0.3562588,0.0
0.3718838,0.0
0.3875088,0.0
0.4031338,0.0
0.4187588,0.0
0.4343838,0.0
0.4500088,0.0
0.4656338,0.0
0.4812588,0.0
0.4968838,0.0
0.5125088,0.0
0.5281338,0.0
0.5437588,0.0
0.5593838,0.0
0.5750088,0.0
0.5906338,0.0
0.6062588,0.0
0.6218838,0.0
0.6375088,0.0
0.6531338,0.0
0.6687588,0.0
0.6843838,0.0
0.7000088,0.0
0.7156338,0.0
0.7312588,0.0
0.7468838,0.0
0.7625088,0.0
0.7781338,0.0
0.7937588,0.0
0.8093838,0.0
0.8250088,0.0
0.8406338,0.0
0.8562588,0.0
0.8718838,0.0
0.8875088,0.0
0.9031338,0.0
0.9187588,0.0
0.9343838,0.0
0.9500088,0.0
0.9656338,0.0
0.9812588,0.0
0.9968838,0.0
1.0125088,0.0
1.0281338,0.0
1.0437588,0.0
1.0593838,0.0
1.0750088,0.0
1.0906338,0.0
1.1062588,0.0
1.1218838,0.0
1.1375088,0.0
1.1531338,0.0
1.1687588,0.0
1.1843838,0.0
1.2000088,0.0
1.2156338,0.0
1.2312588,0.0
1.2468838,0.0
1.2625088,0.0
1.2781338,0.0
1.2937588,0.0
1.3093838,0.0
1.3250088,0.0
1.3406338,0.0
1.3562588,0.0
1.3718838,0.0
1.3875088,0.0
1.4031338,0.0
1.4187588,0.0
1.4343838,0.0
1.4500088,0.0
1.4656338,0.0
1.4812588,0.0
1.4968838,0.0
1.5125088,0.0
1.5281338,0.0
1.5437588,0.0
1.5593838,0.0
1.5750088,0.0
1.5906338,0.0
1.6062588,0.0
1.6218838,0.0
1.6375088,0.0
1.6531338,0.0
1.6687588,0.0
1.6843838,0.0
1.7000088,0.0
1.7156338,0.0
1.7312588,0.0
1.7468838,0.0
1.7625088,0.0
1.7781338,0.0
1.7937588,0.0
1.8093838,0.0
1.8250088,0.0
1.8406338,0.0
1.8562588,0.0
1.8718838,0.0
1.8875088,0.0
1.9031338,0.0
1.9187588,0.0
1.9343838,0.0
1.9500088,0.0
1.9656338,0.0
1.9812588,0.0
1.9968838,0.0
2.0125088,0.0
2.0281338,0.0
2.0437588,0.0
2.0593838,0.0
2.0750088,0.0
2.0906338,0.0
2.1062588,0.0
2.1218838,0.0
2.1375088,0.0
2.1531338,0.0
2.1687588,0.0
2.1843838,0.0
2.2000088,0.0
2.2156338,0.0
2.2312588,0.0
2.2468838,0.0
2.2625088,0.0
2.2781338,0.0
2.2937588,0.0
2.3093838,0.0
2.3250088,0.0
2.3406338,0.0
2.3562588,0.0
2.3718838,0.0
2.3875088,0.0
2.4031338,0.0
2.4187588,0.0
2.4343838,0.0
2.4500088,0.0
2.4656338,0.0
2.4812588,0.0
2.4968838,0.0
2.5125088,0.0
2.5281338,0.0
2.5437588,0.0
2.5593838,0.0
2.5750088,0.0
2.5906338,0.0
2.6062588,0.0
2.6218838,0.0
2.6375088,0.0
2.6531338,0.0
2.6687588,0.0
2.6843838,0.0
2.7000088,0.0
2.7156338,0.0
2.7312588,0.0
2.7468838,0.0
2.7625088,0.0
2.7781338,0.0
2.7937588,0.0
2.8093838,0.0
2.8250088,0.0
2.8406338,0.0
2.8562588,0.0
2.8718838,0.0
2.8875088,0.0
