Time(s),Value(%)
0.0203894,80.870002746582
0.0360144,69.8099975585938
0.0516394,59.560001373291
0.0672644,49.9300003051758
0.0828894,40.9700012207031
0.0985144,33.0400009155273
0.1141394,26.6399993896484
0.1297644,22.0200004577637
0.1453894,19.0200004577637
0.1610144,17.1800003051758
0.1766394,15.9499998092651
0.1922644,14.6400003433228
0.2078894,12.5
0.2235144,8.94999980926514
0.2391394,3.83999991416931
0.2547644,-2.52999997138977
0.2703894,-9.43000030517578
0.2860144,-15.9300003051758
0.3016394,-21.2700004577637
0.3172644,-25.1299991607666
0.3328894,-27.6800003051758
0.3485144,-29.4699993133545
0.3641394,-31.2299995422363
0.3797644,-33.5400009155273
0.3953894,-36.4099998474121
0.4110144,-39.0400009155273
0.4266394,-40.0
0.4422644,-37.6100006103516
0.4578894,-30.25
0.4735144,-16.4500007629395
0.4891394,4.34000015258789
0.5047644,30.3799991607666
0.5203894,57.1199989318848
0.5360144,78.9499969482422
0.5516394,91.6800003051758
0.5672644,94.0800018310547
0.5828894,87.7799987792969
0.5985144,76.0500030517578
0.6141394,62.1500015258789
0.6297644,48.2900009155273
0.6453894,35.5099983215332
0.6610144,24.1800003051758
0.6766394,14.4200000762939
0.6922644,6.42000007629395
0.7078894,0.409999996423721
0.7235144,-3.57999992370605
0.7391394,-5.98000001907349
0.7547644,-7.53000020980835
0.7703894,-9.02999973297119
0.7860144,-11.0799999237061
0.8016394,-13.9399995803833
0.8172644,-17.5900001525879
0.8328894,-21.7800006866455
0.8485144,-26.2299995422363
0.8641394,-30.7199993133545
0.8797644,-35.0499992370605
0.8953894,-39.0400009155273
0.9110144,-42.6800003051758
0.9266394,-46.2000007629395
0.9422644,-49.7400016784668
0.9578894,-53.2299995422363
0.9735144,-56.439998626709
0.9891394,-59.1300010681152
1.0047644,-61.1300010681152
1.0203894,-62.0999984741211
1.0360144,-61.1599998474121
1.0516394,-56.8199996948242
1.0672644,-47.3199996948242
1.0828894,-31.5200004577637
1.0985144,-10.0600004196167
1.1141394,14.3800001144409
1.1297644,38.1599998474121
1.1453894,57.7799987792969
1.1610144,70.6100006103516
1.1766394,75.3099975585938
1.1922644,72.2699966430664
1.2078894,63.3899993896484
1.2235144,51.2599983215332
1.2391394,38.0999984741211
1.2547644,25.1499996185303
1.2703894,12.8800001144409
1.2860144,1.61000001430511
1.3016394,-8.25
1.3172644,-16.3199996948242
1.3328894,-22.4300003051758
1.3485144,-26.6599998474121
1.3641394,-29.2700004577637
1.3797644,-30.6700000762939
1.3953894,-31.3099994659424
1.4110144,-31.6499996185303
1.4266394,-32.189998626709
1.4422644,-33.2799987792969
1.4578894,-35.0999984741211
1.4735144,-37.6599998474121
1.4891394,-40.810001373291
1.5047644,-44.2599983215332
1.5203894,-47.7200012207031
1.5360144,-50.8899993896484
1.5516394,-53.4700012207031
1.5672644,-55.2700004577637
1.5828894,-56.3600006103516
1.5985144,-56.8699989318848
1.6141394,-56.810001373291
1.6297644,-55.8400001525879
1.6453894,-52.9099998474121
1.6610144,-45.8800010681152
1.6766394,-32.310001373291
1.6922644,-11.2200002670288
1.7078894,15.6499996185303
1.7235144,44.2299995422363
1.7391394,69.6600036621094
1.7547644,88.0999984741211
1.7703894,97.8199996948242
1.7860144,99.2799987792969
1.8016394,94.2300033569336
1.8172644,84.9499969482422
