Time(s),Value(%)
191.0066864,-63.4000015258789
191.0223114,-76.0400009155273
191.0379364,-85.4499969482422
191.0535614,-92.0899963378906
191.0691864,-96.7200012207031
191.0848114,-100.150001525879
191.1004364,-103.01000213623
191.1160614,-105.730003356934
191.1316864,-108.519996643066
191.1473114,-111.370002746582
191.1629364,-114.069999694824
191.1785614,-116.300003051758
191.1941864,-117.930000305176
191.2098114,-119.139999389648
191.2254364,-120.059997558594
191.2410614,-120.470001220703
191.2566864,-119.970001220703
191.2723114,-118.319999694824
191.2879364,-115.319999694824
191.3035614,-110.279998779297
191.3191864,-101.470001220703
191.3348114,-86.3300018310547
191.3504364,-62.4199981689453
191.3660614,-28.8600006103516
191.3816864,12.6999998092651
191.3973114,58.0999984741211
191.4129364,101.680000305176
191.4285614,137.940002441406
191.4441864,163.089996337891
191.4598114,175.880004882813
191.4754364,177.020004272461
191.4910614,167.990005493164
191.5066864,150.619995117188
191.5223114,127.01000213623
191.5379364,99.3899993896484
191.5535614,69.879997253418
191.5691864,40.3600006103516
191.5848114,12.5200004577637
191.6004364,-11.960000038147
191.6160614,-31.8799991607666
191.6316864,-46.7999992370605
191.6473114,-57.0699996948242
191.6629364,-63.560001373291
191.6785614,-67.2300033569336
191.6941864,-68.7799987792969
191.7098114,-68.8300018310547
191.7254364,-68.3600006103516
191.7410614,-68.4199981689453
191.7566864,-69.3899993896484
191.7723114,-70.8499984741211
191.7879364,-72.129997253418
191.8035614,-72.8300018310547
191.8191864,-73.0599975585938
191.8348114,-73.2099990844727
191.8504364,-73.4899978637695
191.8660614,-73.6100006103516
191.8816864,-73.0400009155273
191.8973114,-71.3300018310547
191.9129364,-68.1399993896484
191.9285614,-62.8499984741211
191.9441864,-54.0999984741211
191.9598114,-39.2900009155273
191.9754364,-15.1599998474121
191.9910614,20.0400009155273
192.0066864,64.5800018310547
192.0223114,113.449996948242
192.0379364,160.039993286133
192.0535614,198.110000610352
192.0691864,223.449996948242
192.0848114,234.699996948242
192.1004364,232.919998168945
192.1160614,220.309997558594
192.1316864,199.369995117188
192.1473114,172.479995727539
192.1629364,141.75
192.1785614,109.169998168945
192.1941864,76.6600036621094
192.2098114,45.9599990844727
192.2254364,18.3400001525879
192.2410614,-5.28000020980835
192.2566864,-24.2800006866455
192.2723114,-38.439998626709
192.2879364,-48.2599983215332
192.3035614,-54.7599983215332
192.3191864,-59.2200012207031
192.3348114,-62.7999992370605
192.3504364,-66.2200012207031
192.3660614,-69.5999984741211
192.3816864,-72.7600021362305
192.3973114,-75.5500030517578
192.4129364,-78.0100021362305
192.4285614,-80.1999969482422
192.4441864,-82.0500030517578
192.4598114,-83.4700012207031
192.4754364,-84.5800018310547
192.4910614,-85.4599990844727
192.5066864,-85.8199996948242
192.5223114,-84.8600006103516
192.5379364,-81.2200012207031
192.5535614,-72.75
192.5691864,-56.5
192.5848114,-29.4300003051758
192.6004364,9.3100004196167
192.6160614,56.5699996948242
192.6316864,105.919998168945
192.6473114,150.050003051758
192.6629364,183.009994506836
192.6785614,201.429992675781
192.6941864,204.789993286133
192.7098114,194.949996948242
192.7254364,175.139999389648
192.7410614,148.889999389648
192.7566864,119.120002746582
192.7723114,87.8099975585938
192.7879364,56.3499984741211
192.8035614,25.9400005340576
192.8191864,-2.35999989509583
192.8348114,-27.75
192.8504364,-49.5400009155273
192.8660614,-66.9899978637695
192.8816864,-79.6800003051758
192.8973114,-87.9899978637695
192.9129364,-93.0299987792969
192.9285614,-96.0999984741211
192.9441864,-98.2600021362305
192.9598114,-100.190002441406
192.9754364,-102.309997558594
192.9910614,-104.680000305176
193.0066864,-107.040000915527
193.0223114,-109.069999694824
193.0379364,-110.540000915527
193.0535614,-111.300003051758
193.0691864,-111.309997558594
193.0848114,-110.809997558594
193.1004364,-110.040000915527
193.1160614,-108.800003051758
193.1316864,-106.519996643066
193.1473114,-102.419998168945
193.1629364,-95.4100036621094
193.1785614,-83.6500015258789
193.1941864,-64.879997253418
193.2098114,-37.1199989318848
193.2254364,0.270000010728836
193.2410614,45.0
193.2566864,91.2600021362305
193.2723114,131.850006103516
193.2879364,161.070007324219
193.3035614,176.389999389648
193.3191864,178.509994506836
193.3348114,170.300003051758
193.3504364,155.259994506836
193.3660614,136.0
193.3816864,113.790000915527
193.3973114,89.1999969482422
193.4129364,62.9500007629395
193.4285614,36.4300003051758
193.4441864,11.4399995803833
193.4598114,-10.5100002288818
193.4754364,-28.75
193.4910614,-43.2599983215332
193.5066864,-54.1199989318848
193.5223114,-61.5400009155273
193.5379364,-66.0400009155273
193.5535614,-68.5
193.5691864,-69.9899978637695
193.5848114,-71.6399993896484
193.6004364,-74.0100021362305
193.6160614,-76.7799987792969
193.6316864,-79.1100006103516
193.6473114,-80.2399978637695
193.6629364,-79.8300018310547
193.6785614,-77.9800033569336
193.6941864,-75.1600036621094
193.7098114,-71.9000015258789
193.7254364,-68.7399978637695
193.7410614,-65.8899993896484
193.7566864,-63.0400009155273
193.7723114,-59.4599990844727
193.7879364,-54.0800018310547
193.8035614,-45.4700012207031
193.8191864,-31.7199993133545
193.8348114,-10.8900003433228
193.8504364,17.5100002288818
193.8660614,51.4000015258789
193.8816864,86.629997253418
193.8973114,118.599998474121
193.9129364,143.759994506836
193.9285614,160.449996948242
193.9441864,168.75
193.9598114,169.729995727539
193.9754364,164.699996948242
193.9910614,154.75
194.0066864,140.690002441406
194.0223114,123.199996948242
194.0379364,103.190002441406
194.0535614,81.9599990844727
194.0691864,60.9500007629395
194.0848114,41.310001373291
194.1004364,23.8500003814697
194.1160614,9.23999977111816
194.1316864,-2.23000001907349
194.1473114,-10.960000038147
194.1629364,-17.7000007629395
194.1785614,-23.2700004577637
194.1941864,-28.2900009155273
194.2098114,-33.1199989318848
194.2254364,-37.9799995422363
194.2410614,-42.9099998474121
194.2566864,-47.6500015258789
194.2723114,-51.810001373291
194.2879364,-55.0800018310547
194.3035614,-57.4199981689453
194.3191864,-58.9799995422363
194.3348114,-60.1199989318848
194.3504364,-61.1399993896484
194.3660614,-62.0099983215332
194.3816864,-62.2900009155273
194.3973114,-61.2999992370605
194.4129364,-58.0800018310547
194.4285614,-51.439998626709
194.4441864,-40.1500015258789
194.4598114,-23.75
194.4754364,-3.40000009536743
194.4910614,18.3299999237061
194.5066864,39.0200004577637
194.5223114,57.4099998474121
194.5379364,72.9800033569336
194.5535614,85.1699981689453
194.5691864,93.3199996948242
194.5848114,96.9700012207031
194.6004364,96.0699996948242
194.6160614,90.8600006103516
194.6316864,81.7300033569336
194.6473114,69.3099975585938
194.6629364,54.5099983215332
194.6785614,38.5400009155273
194.6941864,22.6700000762939
194.7098114,8.0
194.7254364,-4.78999996185303
194.7410614,-15.5699996948242
194.7566864,-24.5
194.7723114,-31.8099994659424
194.7879364,-37.7000007629395
194.8035614,-42.4599990844727
194.8191864,-46.4199981689453
194.8348114,-49.9000015258789
194.8504364,-53.2200012207031
194.8660614,-56.6199989318848
194.8816864,-60.0200004577637
194.8973114,-63.0900001525879
194.9129364,-65.5599975585938
194.9285614,-67.3099975585938
194.9441864,-68.4100036621094
