Time(s),Value(bpm)
0.1839332,0
0.3089332,0
0.4339332,0
0.5589332,0
0.6839332,0
0.8089332,0
0.9339332,0
1.0589332,0
1.1839332,0
1.3089332,0
1.4339332,0
1.5589332,0
1.6839332,0
1.8089332,0
1.9339332,0
2.0589332,0
2.1839332,0
2.3089332,0
2.4339332,0
2.5589332,0
2.6839332,0
2.8089332,0
2.9339332,0
3.0589332,0
3.1839332,0
3.3089332,0
3.4339332,0
3.5589332,0
3.6839332,0
3.8089332,0
3.9339332,0
4.0589332,0
4.1839332,0
4.3089332,0
4.4339332,0
4.5589332,0
4.6839332,0
4.8089332,0
4.9339332,0
5.0589332,0
5.1839332,0
5.3089332,0
5.4339332,0
5.5589332,0
5.6839332,0
5.8089332,0
5.9339332,0
6.0589332,0
6.1839332,0
6.3089332,0
6.4339332,0
6.5589332,0
6.6839332,0
6.8089332,0
6.9339332,0
7.0589332,0
7.1839332,0
7.3089332,0
7.4339332,0
7.5589332,0
7.6839332,0
7.8089332,0
7.9339332,0
8.0589332,0
8.1839332,0
8.3089332,0
8.4339332,0
8.5589332,0
8.6839332,0
8.8089332,0
8.9339332,0
9.0589332,0
9.1839332,0
9.3089332,0
9.4339332,0
9.5589332,0
9.6839332,0
9.8089332,0
9.9339332,0
10.0589332,0
10.1839332,0
10.3089332,0
10.4339332,0
10.5589332,0
10.6839332,0
10.8089332,0
10.9339332,0
11.0589332,0
11.1839332,0
11.3089332,0
11.4339332,0
11.5589332,0
11.6839332,0
11.8089332,0
11.9339332,0
12.0589332,0
12.1839332,0
12.3089332,0
12.4339332,0
12.5589332,0
12.6839332,0
12.8089332,0
12.9339332,0
13.0589332,0
13.1839332,0
13.3089332,0
13.4339332,0
13.5589332,0
13.6839332,0
13.8089332,0
13.9339332,0
14.0589332,0
14.1839332,0
14.3089332,0
14.4339332,0
14.5589332,0
14.6839332,0
14.8089332,0
14.9339332,0
15.0589332,0
15.1839332,0
15.3089332,0
15.4339332,0
15.5589332,0
15.6839332,0
15.8089332,0
15.9339332,0
16.0589332,0
16.1839332,0
16.3089332,0
16.4339332,0
16.5589332,0
16.6839332,0
16.8089332,0
16.9339332,0
17.0589332,0
17.1839332,0
17.3089332,0
17.4339332,0
17.5589332,0
17.6839332,0
17.8089332,0
17.9339332,0
18.0589332,0
18.1839332,0
18.3089332,0
18.4339332,0
18.5589332,0
18.6839332,0
18.8089332,0
18.9339332,0
19.0589332,0
19.1839332,0
19.3089332,0
19.4339332,0
19.5589332,0
19.6839332,0
19.8089332,0
19.9339332,0
20.0589332,0
20.1839332,0
20.3089332,0
20.4339332,0
20.5589332,0
20.6839332,0
20.8089332,0
20.9339332,0
21.0589332,0
21.1839332,0
21.3089332,0
21.4339332,0
21.5589332,0
21.6839332,0
21.8089332,0
21.9339332,0
22.0589332,0
22.1839332,0
22.3089332,0
22.4339332,0
22.5589332,0
22.6839332,0
22.8089332,0
22.9339332,0
23.0589332,0
23.1839332,0
23.3089332,0
23.4339332,0
23.5589332,0
23.6839332,0
23.8089332,0
23.9339332,0
24.0589332,0
24.1839332,0
24.3089332,0
24.4339332,0
24.5589332,0
24.6839332,0
24.8089332,0
24.9339332,0
25.0589332,0
25.1839332,0
25.3089332,0
25.4339332,0
25.5589332,0
25.6839332,0
25.8089332,0
25.9339332,0
26.0589332,0
26.1839332,0
26.3089332,0
26.4339332,0
26.5589332,0
26.6839332,0
26.8089332,0
26.9339332,0
27.0589332,0
27.1839332,0
27.3089332,0
27.4339332,0
27.5589332,0
27.6839332,0
27.8089332,0
27.9339332,0
28.0589332,0
28.1839332,0
28.3089332,0
28.4339332,0
28.5589332,0
28.6839332,0
28.8089332,0
28.9339332,0
29.0589332,0
29.1839332,0
29.3089332,0
29.4339332,0
29.5589332,0
29.6839332,0
29.8089332,0
29.9339332,0
30.0589332,0
30.1839332,0
30.3089332,0
30.4339332,0
30.5589332,0
30.6839332,0
30.8089332,0
30.9339332,0
31.0589332,0
31.1839332,0
31.3089332,0
31.4339332,0
31.5589332,0
31.6839332,0
31.8089332,0
31.9339332,0
32.0589332,0
32.1839332,0
32.3089332,0
32.4339332,0
32.5589332,0
32.6839332,0
32.8089332,0
32.9339332,0
33.0589332,0
33.1839332,0
33.3089332,0
33.4339332,0
33.5589332,0
33.6839332,0
33.8089332,0
33.9339332,0
34.0589332,0
34.1839332,0
34.3089332,0
34.4339332,0
34.5589332,0
34.6839332,0
34.8089332,0
34.9339332,0
35.0589332,0
35.1839332,0
35.3089332,0
35.4339332,0
35.5589332,0
35.6839332,0
35.8089332,0
35.9339332,0
36.0589332,0
36.1839332,0
36.3089332,0
36.4339332,0
36.5589332,0
36.6839332,0
36.8089332,0
36.9339332,0
37.0589332,0
37.1839332,0
37.3089332,0
37.4339332,0
37.5589332,0
37.6839332,0
37.8089332,0
37.9339332,0
38.0589332,0
38.1839332,0
38.3089332,0
38.4339332,0
38.5589332,0
38.6839332,0
38.8089332,0
38.9339332,0
39.0589332,0
39.1839332,0
39.3089332,0
39.4339332,0
39.5589332,0
39.6839332,0
39.8089332,0
39.9339332,0
40.0589332,0
40.1839332,0
40.3089332,0
40.4339332,0
40.5589332,0
40.6839332,0
40.8089332,0
40.9339332,0
41.0589332,0
41.1839332,0
41.3089332,0
41.4339332,0
41.5589332,0
41.6839332,0
41.8089332,0
41.9339332,0
42.0589332,0
42.1839332,0
42.3089332,0
42.4339332,0
42.5589332,0
42.6839332,0
42.8089332,0
42.9339332,0
43.0589332,0
43.1839332,0
43.3089332,0
43.4339332,0
43.5589332,0
43.6839332,0
43.8089332,0
43.9339332,0
44.0589332,0
44.1839332,0
44.3089332,0
44.4339332,0
44.5589332,0
44.6839332,0
44.8089332,0
44.9339332,0
45.0589332,0
45.1839332,0
45.3089332,0
45.4339332,0
45.5589332,0
45.6839332,0
45.8089332,0
45.9339332,0
46.0589332,0
46.1839332,0
46.3089332,0
46.4339332,0
46.5589332,0
46.6839332,0
46.8089332,0
46.9339332,0
47.0589332,0
47.1839332,0
47.3089332,0
47.4339332,0
47.5589332,0
47.6839332,0
47.8089332,0
47.9339332,0
48.0589332,0
48.1839332,0
48.3089332,0
48.4339332,0
48.5589332,0
48.6839332,0
48.8089332,0
48.9339332,0
49.0589332,0
49.1839332,0
49.3089332,0
49.4339332,0
49.5589332,0
49.6839332,82
49.8089332,82
49.9339332,82
50.0589332,82
50.1839332,82
50.3089332,82
50.4339332,78
50.5589332,78
50.6839332,78
50.8089332,78
50.9339332,78
51.0589332,78
51.1839332,0
51.3089332,0
51.4339332,0
51.5589332,0
51.6839332,0
51.8089332,0
51.9339332,0
52.0589332,0
52.1839332,0
52.3089332,0
52.4339332,0
52.5589332,0
52.6839332,0
52.8089332,0
52.9339332,0
53.0589332,0
53.1839332,0
53.3089332,0
53.4339332,0
53.5589332,0
53.6839332,0
53.8089332,0
53.9339332,0
54.0589332,0
54.1839332,78
54.3089332,78
54.4339332,78
54.5589332,81
54.6839332,81
54.8089332,81
54.9339332,81
55.0589332,81
55.1839332,81
55.3089332,81
55.4339332,81
55.5589332,82
55.6839332,82
55.8089332,82
55.9339332,82
56.0589332,82
56.1839332,82
56.3089332,82
56.4339332,82
56.5589332,85
56.6839332,85
56.8089332,85
56.9339332,85
57.0589332,85
57.1839332,85
57.3089332,85
57.4339332,85
57.5589332,85
57.6839332,85
57.8089332,85
57.9339332,85
58.0589332,85
58.1839332,85
58.3089332,85
58.4339332,85
58.5589332,85
58.6839332,85
58.8089332,85
58.9339332,85
59.0589332,85
59.1839332,85
59.3089332,85
59.4339332,85
59.5589332,85
59.6839332,85
59.8089332,85
59.9339332,0
60.0589332,0
60.1839332,0
60.3089332,0
60.4339332,0
60.5589332,85
60.6839332,85
60.8089332,85
60.9339332,0
61.0589332,0
61.1839332,0
61.3089332,0
61.4339332,0
61.5589332,0
61.6839332,0
61.8089332,0
61.9339332,0
62.0589332,0
62.1839332,0
62.3089332,0
62.4339332,0
62.5589332,0
62.6839332,0
62.8089332,0
62.9339332,0
63.0589332,0
63.1839332,0
63.3089332,0
63.4339332,0
63.5589332,0
63.6839332,0
63.8089332,0
63.9339332,0
64.0589332,0
64.1839332,0
64.3089332,0
64.4339332,0
64.5589332,0
64.6839332,0
64.8089332,0
64.9339332,0
65.0589332,0
65.1839332,0
65.3089332,0
65.4339332,0
65.5589332,0
65.6839332,0
65.8089332,0
65.9339332,83
