Time(s),Value(bpm)
0.1499198,101
0.2749198,101
0.3999198,101
0.5249198,101
0.6499198,101
0.7749198,101
0.8999198,101
1.0249198,101
1.1499198,101
1.2749198,101
1.3999198,101
1.5249198,101
1.6499198,101
1.7749198,101
1.8999198,101
2.0249198,101
2.1499198,101
2.2749198,101
2.3999198,101
2.5249198,101
2.6499198,101
2.7749198,101
2.8999198,101
3.0249198,101
3.1499198,101
3.2749198,101
3.3999198,101
3.5249198,101
3.6499198,101
3.7749198,101
3.8999198,101
4.0249198,101
4.1499198,101
4.2749198,101
4.3999198,101
4.5249198,101
4.6499198,101
4.7749198,101
4.8999198,101
5.0249198,101
5.1499198,100
5.2749198,100
5.3999198,100
5.5249198,100
5.6499198,100
5.7749198,100
5.8999198,100
6.0249198,100
6.1499198,100
6.2749198,100
6.3999198,100
6.5249198,99
6.6499198,100
6.7749198,100
6.8999198,100
7.0249198,100
7.1499198,100
7.2749198,100
7.3999198,100
7.5249198,100
7.6499198,100
7.7749198,100
7.8999198,100
8.0249198,100
8.1499198,100
8.2749198,100
8.3999198,100
8.5249198,100
8.6499198,100
8.7749198,100
8.8999198,101
9.0249198,101
9.1499198,101
9.2749198,101
9.3999198,101
9.5249198,101
9.6499198,101
9.7749198,101
9.8999198,101
10.0249198,101
10.1499198,101
10.2749198,101
10.3999198,101
10.5249198,101
10.6499198,101
10.7749198,101
10.8999198,102
11.0249198,102
11.1499198,102
11.2749198,102
11.3999198,102
11.5249198,102
11.6499198,102
11.7749198,102
11.8999198,102
12.0249198,102
12.1499198,102
12.2749198,102
12.3999198,102
12.5249198,102
12.6499198,102
12.7749198,102
12.8999198,102
13.0249198,102
13.1499198,102
13.2749198,102
13.3999198,102
13.5249198,102
13.6499198,102
13.7749198,102
13.8999198,102
14.0249198,103
14.1499198,103
14.2749198,103
14.3999198,103
14.5249198,103
14.6499198,103
14.7749198,103
14.8999198,103
15.0249198,103
15.1499198,103
15.2749198,103
15.3999198,103
15.5249198,103
15.6499198,103
15.7749198,103
15.8999198,103
16.0249198,103
16.1499198,103
