Time(s),Value(bpm)
1627.0099667,98
1627.1349667,98
1627.2599667,98
1627.3849667,98
1627.5099667,98
1627.6349667,98
1627.7599667,99
1627.8849667,99
1628.0099667,0
1628.1349667,0
1628.2599667,0
1628.3849667,0
1628.5099667,0
1628.6349667,99
1628.7599667,99
1628.8849667,99
1629.0099667,99
1629.1349667,99
1629.2599667,99
1629.3849667,99
1629.5099667,99
1629.6349667,99
1629.7599667,99
1629.8849667,99
1630.0099667,99
1630.1349667,99
1630.2599667,99
1630.3849667,99
1630.5099667,99
1630.6349667,99
1630.7599667,100
1630.8849667,100
1631.0099667,100
1631.1349667,100
1631.2599667,0
1631.3849667,0
1631.5099667,0
1631.6349667,0
1631.7599667,0
1631.8849667,0
1632.0099667,0
1632.1349667,0
1632.2599667,0
1632.3849667,93
1632.5099667,93
1632.6349667,93
1632.7599667,93
1632.8849667,93
1633.0099667,93
1633.1349667,93
1633.2599667,93
1633.3849667,93
1633.5099667,93
1633.6349667,93
1633.7599667,93
1633.8849667,93
1634.0099667,93
1634.1349667,93
1634.2599667,93
1634.3849667,93
1634.5099667,93
1634.6349667,93
1634.7599667,93
1634.8849667,92
1635.0099667,92
1635.1349667,92
1635.2599667,92
1635.3849667,92
1635.5099667,92
1635.6349667,92
1635.7599667,92
1635.8849667,92
1636.0099667,92
1636.1349667,92
1636.2599667,92
1636.3849667,92
1636.5099667,92
1636.6349667,92
1636.7599667,92
1636.8849667,92
1637.0099667,92
1637.1349667,92
1637.2599667,92
1637.3849667,92
1637.5099667,92
1637.6349667,92
1637.7599667,92
1637.8849667,93
1638.0099667,93
1638.1349667,93
1638.2599667,93
1638.3849667,93
1638.5099667,93
1638.6349667,93
1638.7599667,93
1638.8849667,94
1639.0099667,94
1639.1349667,94
1639.2599667,94
1639.3849667,94
1639.5099667,94
1639.6349667,94
1639.7599667,94
1639.8849667,94
1640.0099667,94
1640.1349667,94
1640.2599667,94
1640.3849667,94
1640.5099667,94
1640.6349667,94
1640.7599667,94
1640.8849667,95
1641.0099667,95
1641.1349667,95
1641.2599667,95
1641.3849667,95
1641.5099667,95
1641.6349667,95
1641.7599667,95
1641.8849667,96
1642.0099667,96
1642.1349667,96
1642.2599667,96
1642.3849667,96
1642.5099667,96
1642.6349667,96
1642.7599667,96
1642.8849667,96
1643.0099667,96
1643.1349667,96
1643.2599667,96
1643.3849667,96
1643.5099667,96
1643.6349667,96
1643.7599667,96
1643.8849667,96
1644.0099667,96
1644.1349667,96
1644.2599667,96
1644.3849667,96
1644.5099667,96
1644.6349667,96
1644.7599667,96
1644.8849667,95
1645.0099667,95
1645.1349667,95
1645.2599667,95
1645.3849667,95
1645.5099667,95
1645.6349667,95
1645.7599667,95
1645.8849667,94
1646.0099667,94
1646.1349667,94
1646.2599667,94
1646.3849667,94
1646.5099667,94
1646.6349667,94
1646.7599667,94
1646.8849667,94
1647.0099667,94
1647.1349667,94
1647.2599667,94
1647.3849667,94
1647.5099667,94
1647.6349667,94
1647.7599667,94
1647.8849667,94
1648.0099667,95
1648.1349667,95
1648.2599667,95
1648.3849667,95
1648.5099667,95
1648.6349667,95
1648.7599667,95
1648.8849667,95
1649.0099667,95
1649.1349667,95
1649.2599667,95
1649.3849667,95
1649.5099667,95
1649.6349667,95
1649.7599667,95
1649.8849667,95
1650.0099667,95
1650.1349667,95
1650.2599667,95
1650.3849667,95
1650.5099667,95
1650.6349667,95
1650.7599667,95
1650.8849667,95
1651.0099667,94
1651.1349667,94
1651.2599667,94
1651.3849667,94
1651.5099667,94
1651.6349667,94
1651.7599667,94
1651.8849667,94
1652.0099667,94
1652.1349667,94
1652.2599667,94
1652.3849667,94
1652.5099667,94
1652.6349667,94
1652.7599667,94
1652.8849667,94
1653.0099667,93
1653.1349667,93
1653.2599667,93
1653.3849667,93
1653.5099667,93
1653.6349667,93
1653.7599667,93
1653.8849667,93
1654.0099667,92
1654.1349667,92
1654.2599667,92
1654.3849667,92
1654.5099667,92
1654.6349667,92
1654.7599667,92
1654.8849667,92
1655.0099667,92
1655.1349667,92
1655.2599667,92
1655.3849667,92
1655.5099667,92
1655.6349667,92
1655.7599667,92
1655.8849667,92
1656.0099667,92
1656.1349667,92
1656.2599667,92
1656.3849667,92
1656.5099667,92
1656.6349667,92
1656.7599667,92
1656.8849667,92
1657.0099667,92
1657.1349667,92
1657.2599667,92
1657.3849667,92
1657.5099667,92
1657.6349667,92
1657.7599667,92
1657.8849667,92
1658.0099667,92
1658.1349667,92
1658.2599667,92
1658.3849667,92
1658.5099667,92
1658.6349667,92
1658.7599667,92
1658.8849667,92
1659.0099667,93
1659.1349667,93
1659.2599667,93
1659.3849667,93
1659.5099667,93
1659.6349667,93
1659.7599667,93
1659.8849667,93
1660.0099667,93
1660.1349667,93
1660.2599667,93
1660.3849667,93
1660.5099667,93
1660.6349667,93
1660.7599667,93
1660.8849667,93
1661.0099667,93
1661.1349667,92
1661.2599667,92
1661.3849667,92
1661.5099667,92
1661.6349667,92
1661.7599667,92
1661.8849667,92
1662.0099667,92
1662.1349667,92
1662.2599667,92
1662.3849667,92
1662.5099667,92
1662.6349667,92
1662.7599667,92
1662.8849667,92
1663.0099667,92
1663.1349667,92
1663.2599667,92
1663.3849667,92
1663.5099667,92
1663.6349667,92
1663.7599667,92
1663.8849667,92
1664.0099667,92
1664.1349667,92
1664.2599667,92
1664.3849667,92
1664.5099667,92
1664.6349667,92
1664.7599667,92
1664.8849667,92
1665.0099667,92
1665.1349667,92
1665.2599667,92
1665.3849667,92
1665.5099667,92
1665.6349667,92
1665.7599667,92
1665.8849667,92
1666.0099667,92
1666.1349667,93
1666.2599667,93
1666.3849667,93
1666.5099667,93
1666.6349667,93
1666.7599667,93
1666.8849667,93
1667.0099667,93
1667.1349667,94
1667.2599667,94
1667.3849667,94
1667.5099667,94
1667.6349667,94
1667.7599667,94
1667.8849667,94
1668.0099667,94
1668.1349667,94
1668.2599667,94
1668.3849667,94
1668.5099667,94
1668.6349667,94
1668.7599667,94
1668.8849667,94
1669.0099667,94
1669.1349667,94
1669.2599667,94
1669.3849667,94
1669.5099667,94
1669.6349667,94
1669.7599667,94
1669.8849667,94
