Time(s),Value(℃)
0.0245565,168.429992675781
0.0401815,168.440002441406
0.0558065,168.449996948242
0.0714315,168.470001220703
0.0870565,168.479995727539
0.1026815,168.490005493164
0.1183065,168.5
0.1339315,168.509994506836
0.1495565,168.529998779297
0.1651815,168.539993286133
0.1808065,168.550003051758
0.1964315,168.570007324219
0.2120565,168.580001831055
0.2276815,168.600006103516
0.2433065,168.619995117188
0.2589315,168.639999389648
0.2745565,168.669998168945
0.2901815,168.699996948242
0.3058065,168.729995727539
0.3214315,168.770004272461
0.3370565,168.800003051758
0.3526815,168.830001831055
0.3683065,168.860000610352
0.3839315,168.889999389648
0.3995565,168.910003662109
0.4151815,168.929992675781
0.4308065,168.949996948242
0.4464315,168.970001220703
0.4620565,168.990005493164
0.4776815,169.0
0.4933065,169.009994506836
0.5089315,169.029998779297
0.5245565,169.039993286133
0.5401815,169.050003051758
0.5558065,169.059997558594
0.5714315,169.070007324219
0.5870565,169.080001831055
0.6026815,169.089996337891
0.6183065,169.100006103516
0.6339315,169.110000610352
0.6495565,169.119995117188
0.6651815,169.130004882813
0.6808065,169.139999389648
0.6964315,169.149993896484
0.7120565,169.149993896484
0.7276815,169.160003662109
0.7433065,169.169998168945
0.7589315,169.179992675781
0.7745565,169.190002441406
0.7901815,169.190002441406
0.8058065,169.199996948242
0.8214315,169.199996948242
0.8370565,169.210006713867
0.8526815,169.210006713867
0.8683065,169.220001220703
0.8839315,169.220001220703
0.8995565,169.229995727539
0.9151815,169.229995727539
0.9308065,169.240005493164
0.9464315,169.25
0.9620565,169.259994506836
0.9776815,169.259994506836
0.9933065,169.270004272461
1.0089315,169.279998779297
1.0245565,169.289993286133
1.0401815,169.300003051758
1.0558065,169.320007324219
1.0714315,169.330001831055
1.0870565,169.339996337891
1.1026815,169.360000610352
1.1183065,169.369995117188
1.1339315,169.389999389648
1.1495565,169.399993896484
1.1651815,169.419998168945
1.1808065,169.440002441406
1.1964315,169.460006713867
1.2120565,169.470001220703
1.2276815,169.490005493164
1.2433065,169.5
1.2589315,169.520004272461
1.2745565,169.529998779297
1.2901815,169.539993286133
1.3058065,169.559997558594
1.3214315,169.570007324219
1.3370565,169.580001831055
1.3526815,169.600006103516
1.3683065,169.610000610352
1.3839315,169.619995117188
1.3995565,169.639999389648
1.4151815,169.649993896484
1.4308065,169.660003662109
1.4464315,169.679992675781
1.4620565,169.690002441406
1.4776815,169.710006713867
1.4933065,169.729995727539
1.5089315,169.75
1.5245565,169.770004272461
1.5401815,169.779998779297
1.5558065,169.800003051758
1.5714315,169.820007324219
1.5870565,169.839996337891
1.6026815,169.860000610352
1.6183065,169.869995117188
1.6339315,169.889999389648
1.6495565,169.910003662109
1.6651815,169.919998168945
1.6808065,169.929992675781
1.6964315,169.949996948242
1.7120565,169.960006713867
1.7276815,169.970001220703
1.7433065,169.990005493164
1.7589315,170.0
1.7745565,170.009994506836
1.7901815,170.029998779297
1.8058065,170.039993286133
1.8214315,170.059997558594
1.8370565,170.070007324219
1.8526815,170.080001831055
1.8683065,170.089996337891
1.8839315,170.100006103516
1.8995565,170.100006103516
1.9151815,170.110000610352
1.9308065,170.110000610352
1.9464315,170.119995117188
1.9620565,170.119995117188
1.9776815,170.119995117188
1.9933065,170.130004882813
2.0089315,170.130004882813
2.0245565,170.130004882813
2.0401815,170.139999389648
2.0558065,170.139999389648
2.0714315,170.149993896484
2.0870565,170.149993896484
2.1026815,170.160003662109
2.1183065,170.160003662109
2.1339315,170.169998168945
2.1495565,170.179992675781
2.1651815,170.190002441406
2.1808065,170.199996948242
2.1964315,170.210006713867
2.2120565,170.220001220703
2.2276815,170.229995727539
2.2433065,170.240005493164
2.2589315,170.25
2.2745565,170.270004272461
2.2901815,170.279998779297
2.3058065,170.289993286133
2.3214315,170.300003051758
2.3370565,170.309997558594
2.3526815,170.320007324219
2.3683065,170.330001831055
2.3839315,170.339996337891
2.3995565,170.350006103516
2.4151815,170.350006103516
2.4308065,170.360000610352
2.4464315,170.369995117188
2.4620565,170.380004882813
2.4776815,170.380004882813
2.4933065,170.389999389648
2.5089315,170.389999389648
2.5245565,170.399993896484
2.5401815,170.399993896484
2.5558065,170.410003662109
2.5714315,170.410003662109
2.5870565,170.410003662109
2.6026815,170.419998168945
2.6183065,170.419998168945
2.6339315,170.419998168945
2.6495565,170.419998168945
2.6651815,170.419998168945
2.6808065,170.410003662109
2.6964315,170.410003662109
2.7120565,170.399993896484
2.7276815,170.399993896484
2.7433065,170.389999389648
2.7589315,170.389999389648
2.7745565,170.389999389648
2.7901815,170.380004882813
2.8058065,170.380004882813
2.8214315,170.380004882813
2.8370565,170.369995117188
2.8526815,170.369995117188
2.8683065,170.369995117188
2.8839315,170.369995117188
2.8995565,170.369995117188
2.9151815,170.369995117188
2.9308065,170.369995117188
2.9464315,170.369995117188
2.9620565,170.369995117188
2.9776815,170.369995117188
2.9933065,170.369995117188
3.0089315,170.369995117188
3.0245565,170.380004882813
3.0401815,170.380004882813
3.0558065,170.380004882813
3.0714315,170.380004882813
3.0870565,170.380004882813
3.1026815,170.380004882813
3.1183065,170.369995117188
3.1339315,170.369995117188
3.1495565,170.369995117188
3.1651815,170.360000610352
3.1808065,170.350006103516
3.1964315,170.339996337891
3.2120565,170.330001831055
3.2276815,170.320007324219
3.2433065,170.320007324219
3.2589315,170.309997558594
3.2745565,170.300003051758
3.2901815,170.289993286133
3.3058065,170.289993286133
3.3214315,170.279998779297
3.3370565,170.279998779297
3.3526815,170.279998779297
3.3683065,170.270004272461
3.3839315,170.270004272461
3.3995565,170.270004272461
3.4151815,170.270004272461
3.4308065,170.270004272461
3.4464315,170.259994506836
3.4620565,170.259994506836
3.4776815,170.259994506836
3.4933065,170.259994506836
3.5089315,170.259994506836
3.5245565,170.259994506836
3.5401815,170.259994506836
3.5558065,170.259994506836
3.5714315,170.259994506836
3.5870565,170.259994506836
3.6026815,170.270004272461
3.6183065,170.270004272461
3.6339315,170.270004272461
3.6495565,170.279998779297
3.6651815,170.279998779297
3.6808065,170.289993286133
3.6964315,170.289993286133
3.7120565,170.300003051758
3.7276815,170.300003051758
3.7433065,170.309997558594
3.7589315,170.320007324219
3.7745565,170.320007324219
3.7901815,170.330001831055
3.8058065,170.330001831055
3.8214315,170.339996337891
3.8370565,170.339996337891
3.8526815,170.350006103516
3.8683065,170.350006103516
3.8839315,170.350006103516
3.8995565,170.350006103516
3.9151815,170.350006103516
3.9308065,170.350006103516
3.9464315,170.350006103516
3.9620565,170.339996337891
3.9776815,170.339996337891
3.9933065,170.330001831055
4.0089315,170.330001831055
4.0245565,170.320007324219
4.0401815,170.320007324219
4.0558065,170.320007324219
4.0714315,170.320007324219
4.0870565,170.320007324219
4.1026815,170.320007324219
4.1183065,170.320007324219
4.1339315,170.320007324219
4.1495565,170.320007324219
4.1651815,170.330001831055
4.1808065,170.330001831055
4.1964315,170.330001831055
4.2120565,170.339996337891
4.2276815,170.339996337891
4.2433065,170.350006103516
4.2589315,170.350006103516
4.2745565,170.350006103516
4.2901815,170.360000610352
4.3058065,170.360000610352
4.3214315,170.360000610352
4.3370565,170.369995117188
4.3526815,170.369995117188
4.3683065,170.369995117188
4.3839315,170.380004882813
4.3995565,170.380004882813
4.4151815,170.389999389648
4.4308065,170.389999389648
4.4464315,170.399993896484
4.4620565,170.399993896484
4.4776815,170.410003662109
4.4933065,170.410003662109
4.5089315,170.419998168945
4.5245565,170.429992675781
4.5401815,170.440002441406
