Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;
0;1.59859;-0.0159387;-41.285;-1.9;40.0042;-8.67697e-005;-6.15536e-007;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0100034;3.85712;-0.0125744;-41.195;-1.9;40.1011;-0.000469052;-3.27891e-005;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0200068;4.17255;-0.0105767;-41.0838;-1.9;40.2468;-0.000804567;-0.000132827;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0300101;4.40708;-0.00925812;-40.971;-1.90001;40.4024;-0.00105388;-0.000285015;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0400135;4.71998;-0.00848606;-40.858;-1.90001;40.5674;-0.00123214;-0.000483307;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0500169;5.08817;-0.00804531;-40.7451;-1.90001;40.7436;-0.00136265;-0.000717916;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0600203;5.4415;-0.00764878;-40.6371;-1.90002;40.9245;-0.00144811;-0.000973041;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0700237;5.74371;-0.00730607;-40.5231;-1.90003;41.1267;-0.00150251;-0.0012694;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.080027;5.93546;-0.00705178;-40.408;-1.90003;41.3383;-0.00152783;-0.00159171;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.0900304;6.02943;-0.00712708;-40.2923;-1.90004;41.5546;-0.00153013;-0.00193816;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.100034;6.09505;-0.00735969;-40.1764;-1.90005;41.773;-0.00151946;-0.00230877;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.110037;6.17413;-0.00762815;-40.0595;-1.90006;41.9943;-0.00150007;-0.00270227;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.120041;6.27499;-0.00789867;-39.9425;-1.90007;42.2181;-0.00147485;-0.00311302;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.130044;6.39306;-0.00823091;-39.8245;-1.90008;42.4461;-0.00144657;-0.00354072;-31.558;-5.4;-71.4085;-5.4;-124.738;-5.4;-192.409;-5.4;-272.409;-5.4;-365.738;-5.4;-472.409;-5.4;-592.409;-5.4;-725.738;-5.4;-872.158;-5.4;-1032.23;-5.4;-1241.56;-5.4;-1392.23;-5.4;-1592.32;-5.4;-1805.65;-5.4;
0.140047;6.51682;-0.00864678;-39.7055;-1.90009;42.6795;-0.0014205;-0.003984;-31.4905;-5.39998;-71.341;-5.39998;-124.671;-5.39998;-192.341;-5.39998;-272.341;-5.39998;-365.671;-5.39999;-472.341;-5.39998;-592.341;-5.39998;-725.671;-5.39998;-872.09;-5.39998;-1032.16;-5.39998;-1241.49;-5.39998;-1392.16;-5.39998;-1592.25;-5.39998;-1805.58;-5.39998;
0.150051;6.63389;-0.00908821;-39.5861;-1.90011;42.9167;-0.00140076;-0.00443677;-31.213;-5.39992;-71.0635;-5.3999;-124.394;-5.3999;-192.064;-5.3999;-272.064;-5.3999;-365.394;-5.39995;-472.064;-5.3999;-592.064;-5.3999;-725.394;-5.3999;-871.813;-5.39988;-1031.89;-5.39989;-1241.22;-5.39989;-1391.89;-5.39989;-1591.98;-5.3999;-1805.31;-5.3999;
0.160054;6.74057;-0.00954662;-39.4657;-1.90012;43.1585;-0.00138957;-0.00489772;-30.9355;-5.39985;-70.786;-5.39983;-124.116;-5.39983;-191.786;-5.39983;-271.786;-5.39983;-365.116;-5.39991;-471.786;-5.39983;-591.786;-5.39983;-725.116;-5.39983;-871.535;-5.39979;-1031.61;-5.3998;-1240.94;-5.3998;-1391.61;-5.3998;-1591.7;-5.39982;-1805.03;-5.39982;
0.170057;6.81769;-0.0105551;-39.3459;-1.90013;43.4008;-0.00139672;-0.00535703;-30.658;-5.39978;-70.5085;-5.39975;-123.838;-5.39975;-191.508;-5.39975;-271.508;-5.39975;-364.838;-5.39987;-471.508;-5.39975;-591.508;-5.39975;-724.838;-5.39975;-871.257;-5.3997;-1031.33;-5.39971;-1240.66;-5.39971;-1391.33;-5.39971;-1591.42;-5.39974;-1804.75;-5.39974;
0.180061;6.72422;-0.011697;-39.2244;-1.90015;43.6454;-0.00145835;-0.00580857;-30.3804;-5.39971;-70.2309;-5.39967;-123.561;-5.39967;-191.231;-5.39967;-271.231;-5.39967;-364.561;-5.39982;-471.231;-5.39967;-591.231;-5.39967;-724.561;-5.39967;-870.98;-5.3996;-1031.05;-5.39963;-1240.38;-5.39963;-1391.05;-5.39963;-1591.14;-5.39966;-1804.47;-5.39966;
0.190064;6.3439;-0.0111658;-39.1026;-1.90017;43.8803;-0.00155717;-0.00622153;-30.1028;-5.39965;-69.9533;-5.3996;-123.283;-5.3996;-190.953;-5.3996;-270.953;-5.3996;-364.283;-5.39978;-470.953;-5.3996;-590.953;-5.3996;-724.283;-5.3996;-870.702;-5.39952;-1030.77;-5.39954;-1240.1;-5.39954;-1390.77;-5.39954;-1590.86;-5.39959;-1804.19;-5.39959;
0.200068;5.67241;-0.0097627;-38.98;-1.90019;44.0972;-0.00164192;-0.00659755;-29.8247;-5.3996;-69.6752;-5.39954;-123.005;-5.39954;-190.675;-5.39954;-270.675;-5.39954;-364.005;-5.39975;-470.675;-5.39954;-590.675;-5.39954;-724.005;-5.39954;-870.424;-5.39946;-1030.5;-5.39948;-1239.83;-5.39948;-1390.5;-5.39948;-1590.59;-5.39953;-1803.92;-5.39953;
0.210071;4.80802;-0.00924755;-38.8565;-1.9002;44.2874;-0.00170222;-0.00695859;-29.5465;-5.39954;-69.397;-5.39949;-122.727;-5.39949;-190.397;-5.39949;-270.397;-5.39949;-363.727;-5.39971;-470.397;-5.39949;-590.397;-5.39949;-723.727;-5.39949;-870.146;-5.3994;-1030.22;-5.39943;-1239.55;-5.39943;-1390.22;-5.39943;-1590.31;-5.39948;-1803.64;-5.39948;
0.220074;3.90222;-0.00931878;-38.7344;-1.90023;44.44;-0.00175419;-0.00731588;-29.2684;-5.39949;-69.1189;-5.39944;-122.449;-5.39944;-190.119;-5.39944;-270.119;-5.39944;-363.449;-5.39967;-470.119;-5.39944;-590.119;-5.39944;-723.449;-5.39944;-869.868;-5.39934;-1029.94;-5.39937;-1239.27;-5.39937;-1389.94;-5.39937;-1590.03;-5.39942;-1803.36;-5.39942;
0.230078;3.05794;-0.00949243;-38.6099;-1.90025;44.5636;-0.00180725;-0.00768422;-28.9902;-5.39944;-68.8407;-5.39938;-122.171;-5.39938;-189.841;-5.39938;-269.841;-5.39938;-363.171;-5.39963;-469.841;-5.39938;-589.841;-5.39938;-723.171;-5.39938;-869.59;-5.39928;-1029.66;-5.39931;-1238.99;-5.39931;-1389.66;-5.39931;-1589.75;-5.39936;-1803.08;-5.39936;
0.240081;2.34875;-0.00971657;-38.4867;-1.90027;44.6593;-0.00186232;-0.00805363;-28.713;-5.39939;-68.5635;-5.39932;-121.894;-5.39932;-189.564;-5.39932;-269.564;-5.39932;-362.894;-5.39959;-469.564;-5.39932;-589.564;-5.39932;-722.894;-5.39932;-869.313;-5.39922;-1029.39;-5.39925;-1238.72;-5.39925;-1389.39;-5.39925;-1589.48;-5.39931;-1802.81;-5.39931;
0.250085;1.77437;-0.00986231;-38.3624;-1.90029;44.7335;-0.00192075;-0.00843103;-28.4408;-5.39933;-68.2913;-5.39926;-121.621;-5.39926;-189.291;-5.39926;-269.291;-5.39926;-362.621;-5.39954;-469.291;-5.39926;-589.291;-5.39926;-722.621;-5.39926;-869.04;-5.39915;-1029.11;-5.39919;-1238.44;-5.39919;-1389.11;-5.39919;-1589.2;-5.39924;-1802.53;-5.39924;
0.260088;1.34256;-0.00997221;-38.2374;-1.90032;44.7888;-0.00197893;-0.00881664;-28.1686;-5.39927;-68.0191;-5.3992;-121.349;-5.3992;-189.019;-5.3992;-269.019;-5.3992;-362.349;-5.39949;-469.019;-5.3992;-589.019;-5.3992;-722.349;-5.3992;-868.768;-5.39909;-1028.84;-5.39912;-1238.17;-5.39912;-1388.84;-5.39912;-1588.93;-5.39918;-1802.26;-5.39918;
0.270091;1.02455;-0.0100751;-38.1132;-1.90034;44.8306;-0.00203624;-0.00920483;-27.8965;-5.39921;-67.747;-5.39913;-121.077;-5.39913;-188.747;-5.39913;-268.747;-5.39913;-362.077;-5.39944;-468.747;-5.39913;-588.747;-5.39913;-722.077;-5.39913;-868.496;-5.39902;-1028.57;-5.39905;-1237.9;-5.39905;-1388.57;-5.39905;-1588.66;-5.39912;-1801.99;-5.39912;
