Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;
0;-0.482108;1.15792;-20.9343;-1.75;79.9971;0.00628158;3.1952e-005;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0100011;-0.965037;1.02534;-20.8031;-1.74996;79.9783;0.0269924;0.00127572;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0200021;-1.39418;0.857847;-20.5802;-1.74983;79.9346;0.0549015;0.00564939;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0300032;-1.48253;0.761657;-20.3568;-1.7496;79.8817;0.0728244;0.0135628;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0400042;-1.47122;0.703495;-20.1396;-1.74932;79.8294;0.0845749;0.023614;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0500053;-1.42919;0.671532;-19.9173;-1.74895;79.777;0.0919155;0.0361586;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0600063;-1.3869;0.656877;-19.6926;-1.74852;79.7255;0.0960113;0.0507007;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0700074;-1.35502;0.644065;-19.472;-1.74802;79.6762;0.0969511;0.066746;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0800085;-1.3349;0.648481;-19.259;-1.74748;79.6294;0.0960932;0.0835662;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0900095;-1.32323;0.657728;-19.0384;-1.74686;79.5813;0.0938788;0.102109;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.100011;-1.31821;0.663724;-18.8165;-1.74617;79.5332;0.0904394;0.121788;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.110012;-1.31757;0.677564;-18.5947;-1.74541;79.4851;0.0862293;0.142473;47.0343;-1.75;-52.6293;1.75;62.0338;-5.25;
0.120013;-1.31854;0.693435;-18.373;-1.74458;79.4369;0.0814667;0.163945;47.0345;-1.75;-52.6291;1.75;62.034;-5.25;
0.130014;-1.31994;0.708629;-18.1517;-1.74369;79.3886;0.0762699;0.186055;47.0347;-1.75;-52.629;1.75;62.0342;-5.25;
0.140015;-1.32095;0.717615;-17.9522;-1.74283;79.345;0.0713085;0.206512;47.0349;-1.75;-52.6288;1.75;62.0344;-5.25;
0.150016;-1.32149;0.74141;-17.7096;-1.74169;79.2919;0.0650835;0.232012;47.0351;-1.75;-52.6286;1.75;62.0345;-5.25;
0.160017;-1.32106;0.759933;-17.4905;-1.74058;79.2439;0.0595203;0.255542;47.1863;-1.74995;-52.4207;1.75006;62.1858;-5.24995;
0.170018;-1.31991;0.777444;-17.2721;-1.73941;79.196;0.054021;0.27941;47.4083;-1.74988;-52.1156;1.75016;62.4077;-5.24988;
0.180019;-1.31824;0.797502;-17.0496;-1.73814;79.1472;0.0486382;0.304105;47.6302;-1.74982;-51.8104;1.75026;62.6296;-5.24982;
0.19002;-1.31636;0.815996;-16.8277;-1.73678;79.0985;0.043536;0.329115;47.8521;-1.74975;-51.5053;1.75035;62.8516;-5.24975;
0.200021;-1.31473;0.832735;-16.6075;-1.73536;79.0503;0.0387027;0.354254;48.074;-1.74968;-51.2001;1.75045;63.0735;-5.24968;
0.210022;-1.31369;0.852717;-16.3869;-1.73385;79.002;0.0341447;0.379703;48.2968;-1.74962;-50.8939;1.75052;63.2962;-5.24962;
0.220023;-1.31327;0.866883;-16.1673;-1.73226;78.9539;0.0299202;0.405293;48.5201;-1.74957;-50.5868;1.75059;63.5195;-5.24956;
0.230024;-1.3135;0.879113;-15.948;-1.73058;78.9058;0.0259071;0.43111;48.7434;-1.74951;-50.2798;1.75066;63.7428;-5.24951;
0.240025;-1.3142;0.898143;-15.7285;-1.72881;78.8577;0.0221264;0.457145;48.9667;-1.74946;-49.9728;1.75072;63.9661;-5.24946;
0.250026;-1.31517;0.914318;-15.5102;-1.72697;78.8098;0.018818;0.483235;49.1899;-1.7494;-49.6658;1.75079;64.1894;-5.2494;
0.260027;-1.31612;0.923043;-15.2899;-1.72502;78.7614;0.0157392;0.509745;49.4124;-1.74934;-49.3599;1.75086;64.4119;-5.24934;
0.270029;-1.31697;0.932878;-15.072;-1.72299;78.7135;0.0128861;0.536137;49.6343;-1.74927;-49.0547;1.75093;64.6338;-5.24927;
0.28003;-1.31767;0.942853;-14.8531;-1.72086;78.6653;0.010229;0.562784;49.8562;-1.74921;-48.7496;1.75101;64.8557;-5.24921;
0.290031;-1.31827;0.960425;-14.6342;-1.71864;78.6171;0.00806674;0.589551;50.0781;-1.74914;-48.4445;1.75108;65.0776;-5.24914;
0.300032;-1.31851;0.969064;-14.4392;-1.71658;78.5741;0.00641209;0.613479;50.3;-1.74908;-48.1394;1.75116;65.2995;-5.24908;
0.310033;-1.31846;0.976276;-14.1994;-1.71394;78.5212;0.00452945;0.643032;50.5216;-1.749;-47.8347;1.75124;65.521;-5.249;
0.320034;-1.31819;0.982927;-13.9809;-1.71142;78.473;0.00299903;0.670054;50.7429;-1.74893;-47.5304;1.75132;65.7424;-5.24893;
0.330035;-1.31774;0.989199;-13.762;-1.70881;78.4248;0.00164924;0.697173;50.9643;-1.74885;-47.226;1.75141;65.9637;-5.24885;
0.340036;-1.31701;0.982334;-13.544;-1.70612;78.3767;0.000319618;0.724226;51.1856;-1.74877;-46.9217;1.75149;66.1851;-5.24877;
0.350037;-1.31635;0.990621;-13.3369;-1.70346;78.3311;-0.000916986;0.749942;51.407;-1.7487;-46.6173;1.75158;66.4064;-5.24869;
0.360038;-1.31561;0.996928;-13.1191;-1.70056;78.2831;-0.00193;0.776985;51.6294;-1.74861;-46.3115;1.75167;66.6288;-5.24861;
0.370039;-1.31479;1.00192;-12.8948;-1.69748;78.2337;-0.00275116;0.804848;51.8525;-1.74852;-46.0048;1.75177;66.8519;-5.24852;
0.38004;-1.31394;1.00588;-12.6748;-1.69436;78.1853;-0.00337511;0.83217;52.0756;-1.74844;-45.698;1.75186;67.075;-5.24843;
0.390041;-1.31306;1.00907;-12.4576;-1.69116;78.1375;-0.00382216;0.859162;52.2987;-1.74835;-45.3912;1.75196;67.2981;-5.24834;
0.400042;-1.31216;1.01174;-12.2399;-1.68786;78.0896;-0.00414485;0.886228;52.5218;-1.74826;-45.0845;1.75205;67.5212;-5.24826;
0.410043;-1.31128;1.01388;-12.024;-1.68449;78.0421;-0.00435806;0.913073;52.7439;-1.74816;-44.779;1.75215;67.7434;-5.24816;
0.420044;-1.31044;1.01553;-11.8088;-1.68103;77.9948;-0.00448026;0.939833;52.9654;-1.74807;-44.4744;1.75226;67.9649;-5.24806;
0.430045;-1.30963;1.01667;-11.5906;-1.67742;77.9469;-0.00451839;0.966971;53.1869;-1.74797;-44.1699;1.75236;68.1864;-5.24797;
0.440047;-1.30888;1.0174;-11.3738;-1.67373;77.8993;-0.00449772;0.993951;53.4084;-1.74787;-43.8653;1.75247;68.4079;-5.24787;
0.450048;-1.30819;1.01778;-11.1567;-1.66993;77.8516;-0.00443195;1.02097;53.6299;-1.74777;-43.5608;1.75257;68.6294;-5.24777;
0.460049;-1.30755;1.01787;-10.9412;-1.66606;77.8043;-0.00433277;1.04781;53.8519;-1.74767;-43.2556;1.75268;68.8513;-5.24766;
0.47005;-1.30697;1.0177;-10.7324;-1.66221;77.7585;-0.0042104;1.07381;54.0742;-1.74756;-42.9499;1.75279;69.0736;-5.24756;
0.480051;-1.30644;1.01737;-10.5273;-1.65834;77.7135;-0.00407531;1.09937;54.2965;-1.74745;-42.6443;1.75291;69.2959;-5.24745;
0.490052;-1.30588;1.01685;-10.2979;-1.6539;77.6631;-0.00391279;1.12797;54.5188;-1.74734;-42.3386;1.75302;69.5182;-5.24734;
0.500053;-1.30537;1.01623;-10.0792;-1.64956;77.6152;-0.00375115;1.15523;54.741;-1.74724;-42.033;1.75313;69.7405;-5.24723;
0.510054;-1.30489;1.01553;-9.86515;-1.64521;77.5682;-0.0035894;1.18194;54.963;-1.74712;-41.7278;1.75325;69.9624;-5.24712;
0.520055;-1.30441;1.01475;-9.64746;-1.64068;77.5204;-0.00342414;1.2091;55.1847;-1.74701;-41.423;1.75337;70.1841;-5.24701;
0.530056;-1.30393;1.01393;-9.43029;-1.63607;77.4728;-0.00325977;1.23622;55.4063;-1.74689;-41.1182;1.75349;70.4058;-5.24689;
0.540057;-1.30346;1.01308;-9.21542;-1.6314;77.4257;-0.00309823;1.26305;55.628;-1.74678;-40.8134;1.75361;70.6275;-5.24677;
0.550058;-1.30299;1.0122;-9.00026;-1.62662;77.3785;-0.00293792;1.28994;55.8497;-1.74666;-40.5086;1.75373;70.8492;-5.24666;
0.560059;-1.30253;1.01132;-8.7867;-1.62177;77.3317;-0.00277992;1.31663;56.0717;-1.74654;-40.2034;1.75385;71.0711;-5.24654;
0.57006;-1.30205;1.0104;-8.56874;-1.61673;77.2839;-0.00261934;1.34388;56.2938;-1.74642;-39.8979;1.75398;71.2933;-5.24641;
0.580061;-1.30159;1.00953;-8.36281;-1.61187;77.2387;-0.00246774;1.36964;56.516;-1.7463;-39.5925;1.75411;71.5154;-5.24629;
0.590062;-1.3011;1.00861;-8.14727;-1.60668;77.1914;-0.00230837;1.39661;56.7381;-1.74617;-39.287;1.75424;71.7376;-5.24617;
0.600063;-0.713503;1.0087;-7.92424;-1.6012;77.1514;-0.00210267;1.42452;56.9603;-1.74605;-38.9815;1.75436;71.9597;-5.24604;
