Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;
0;-0.0243641;-0.0247181;-38.7762;-1.75;19.9999;-9.24218e-005;-3.23499e-007;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.010002;-0.652297;-0.0163679;-38.7301;-1.75;19.987;-0.000683611;-4.77594e-005;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.020004;-0.822787;-0.0103715;-38.6744;-1.75;19.9591;-0.0010877;-0.000189617;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.030006;-0.859286;-0.00753284;-38.6189;-1.75001;19.9286;-0.00132758;-0.000391795;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.040008;-0.864103;-0.00632866;-38.5636;-1.75001;19.8974;-0.00148713;-0.000638177;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.05001;-0.868238;-0.00920671;-38.5129;-1.75002;19.8689;-0.00170626;-0.000897139;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.060012;-0.887903;-0.00808456;-38.4528;-1.75002;19.8343;-0.00191902;-0.00125178;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.070014;-0.907024;-0.00774097;-38.3975;-1.75003;19.8018;-0.00207792;-0.00160656;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.0800161;-0.918348;-0.00747491;-38.3445;-1.75004;19.7701;-0.00224261;-0.00196702;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.0900181;-0.924939;-0.00784096;-38.2877;-1.75005;19.7357;-0.00239305;-0.00236996;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.10002;-0.92909;-0.00809774;-38.2354;-1.75006;19.7038;-0.00253653;-0.00275081;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.110022;-0.933078;-0.00816907;-38.1805;-1.75007;19.67;-0.00269139;-0.00315572;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.120024;-0.937014;-0.00415949;-38.1257;-1.75008;19.6362;-0.00279078;-0.00356312;23.5607;5.24997;5.24996;-66.8966;1.74997;-47.937;9.655;14.0694;15.6297;7.75;
0.130026;-0.940679;-0.00509512;-38.0711;-1.75009;19.6022;-0.00282211;-0.00395774;23.5515;5.24997;5.24996;-66.8828;1.74996;-47.9231;9.655;14.0694;15.6228;7.74997;
0.140028;-0.943414;-0.00585091;-38.0151;-1.7501;19.5672;-0.00289733;-0.0043464;23.4957;5.24996;5.24994;-66.799;1.74995;-47.8395;9.65126;14.0752;15.581;7.74976;
0.15003;-0.944432;-0.00821255;-37.9634;-1.75011;19.5348;-0.00301287;-0.00469659;23.44;5.24995;5.24993;-66.7152;1.74994;-47.756;9.64439;14.0857;15.5393;7.74955;
0.160032;-0.944389;-0.0090298;-37.9124;-1.75013;19.5028;-0.0031916;-0.00504602;23.3842;5.24994;5.24991;-66.6314;1.74992;-47.6724;9.63751;14.0962;15.4975;7.74935;
0.170034;-0.944788;-0.0068658;-37.8531;-1.75014;19.4654;-0.00335952;-0.00546784;23.3285;5.24993;5.2499;-66.5476;1.74991;-47.5888;9.63064;14.1068;15.4558;7.74914;
0.180036;-0.945382;-0.00586138;-37.8;-1.75016;19.4318;-0.00344796;-0.0058571;23.2728;5.24992;5.24988;-66.464;1.74989;-47.5054;9.62377;14.1173;15.4142;7.74893;
