Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;
0;-0.0292605;0.607009;-92.2673;-5.25;19.9998;0.00329214;2.27647e-005;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0100027;-0.0558958;0.455846;-92.2352;-5.24998;19.9988;0.0131593;0.00085734;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0200055;-0.0645233;0.27592;-92.1795;-5.24992;19.9965;0.0252123;0.0036937;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0300082;-0.048084;0.195186;-92.124;-5.24984;19.9945;0.0316439;0.00843078;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0400109;-0.0299535;0.159883;-92.0684;-5.24973;19.9931;0.0357851;0.0143376;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0500136;-0.027897;0.149388;-92.0127;-5.24961;19.9921;0.03892;0.0210828;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0600164;-0.041126;0.151976;-91.957;-5.24947;19.9909;0.041751;0.0283814;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0700191;-0.0508359;0.158352;-91.9019;-5.24932;19.9891;0.0446011;0.0360516;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0800218;-0.052934;0.164285;-91.8484;-5.24916;19.9872;0.0474887;0.0437812;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.0900246;-0.0533021;0.168766;-91.7928;-5.24897;19.9852;0.0506005;0.0520163;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.100027;-0.0543792;0.170683;-91.7374;-5.24877;19.9832;0.0537621;0.0603633;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.11003;-0.0565649;0.169892;-91.6816;-5.24855;19.981;0.056931;0.0688898;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9023;-24.1942;-7.75;
0.120033;-0.0584969;0.167471;-91.6259;-5.24832;19.9788;0.0600196;0.0774693;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9048;-24.1942;-7.75;
0.130035;-0.0598643;0.163058;-91.57;-5.24806;19.9765;0.0629859;0.0861251;-5.24998;96.14;-5.24998;127.832;-9.655;-13.9173;-24.1942;-7.75;
0.140038;-0.0600482;0.156865;-91.5154;-5.2478;19.9742;0.0656929;0.094625;-5.24997;96.1229;-5.24997;127.815;-9.655;-13.9298;-24.1942;-7.75;
0.150041;-0.0595083;0.14926;-91.4599;-5.24751;19.9719;0.0681579;0.103277;-5.24996;96.0672;-5.24996;127.759;-9.655;-13.9423;-24.194;-7.75;
0.160044;-0.0582039;0.142902;-91.4031;-5.24721;19.9696;0.0704377;0.112166;-5.24995;96.0115;-5.24995;127.704;-9.655;-13.9548;-24.1938;-7.75;
0.170046;-0.0565192;0.135653;-91.3482;-5.2469;19.9674;0.0724249;0.12078;-5.24994;95.9558;-5.24994;127.648;-9.65499;-13.9673;-24.1936;-7.75;
0.180049;-0.0545836;0.126267;-91.2928;-5.24657;19.9652;0.0740984;0.1295;-5.24993;95.9001;-5.24993;127.593;-9.65492;-13.9798;-24.1935;-7.75;
0.190052;-0.0523927;0.117761;-91.2349;-5.24622;19.9631;0.0754813;0.138656;-5.24992;95.8443;-5.24992;127.537;-9.65486;-13.9923;-24.1809;-7.74993;
0.200055;-0.0503665;0.111091;-91.1838;-5.2459;19.9613;0.0764446;0.146737;-5.2499;95.7887;-5.2499;127.481;-9.65479;-14.0048;-24.1395;-7.74973;
0.210057;-0.0481094;0.102048;-91.1275;-5.24553;19.9593;0.0771876;0.155664;-5.24989;95.733;-5.24989;127.426;-9.65472;-14.0173;-24.098;-7.74953;
0.22006;-0.0459663;0.0961338;-91.0702;-5.24514;19.9575;0.0776918;0.164756;-5.24987;95.6773;-5.24987;127.37;-9.65277;-14.0292;-24.0566;-7.74932;
0.230063;-0.0441463;0.0919163;-91.0144;-5.24476;19.9557;0.0780164;0.173587;-5.24986;95.6216;-5.24986;127.315;-9.64583;-14.0396;-24.0152;-7.74912;
0.240066;-0.0427211;0.0878932;-90.9595;-5.24437;19.9541;0.0781913;0.182285;-5.24984;95.5657;-5.24984;127.259;-9.6389;-14.05;-23.9737;-7.74891;
0.250068;-0.0420488;0.0842163;-90.9045;-5.24398;19.9525;0.0782333;0.191001;-5.24982;95.5094;-5.24981;127.203;-9.63196;-14.0604;-23.9321;-7.7487;
0.260071;-0.0430242;0.0810231;-90.8492;-5.24357;19.9509;0.0781557;0.199759;-5.2498;95.4532;-5.24979;127.147;-9.62502;-14.0708;-23.8904;-7.74848;
0.270074;-0.0453292;0.0786443;-90.7931;-5.24315;19.9493;0.077966;0.208648;-5.24977;95.3969;-5.24977;127.091;-9.61696;-14.0799;-23.8488;-7.74827;
0.280076;-0.047177;0.0789556;-90.7379;-5.24273;19.9476;0.0777526;0.21741;-5.24975;95.3406;-5.24975;127.035;-9.60583;-14.0856;-23.8071;-7.74805;
0.290079;-0.0469018;0.0791049;-90.6818;-5.24229;19.9459;0.0775624;0.226333;-5.24973;95.2842;-5.24972;126.979;-9.5947;-14.0913;-23.7655;-7.74783;
0.300082;-0.0450777;0.0771126;-90.6258;-5.24185;19.9442;0.0773036;0.235244;-5.2497;95.2276;-5.2497;126.923;-9.58356;-14.097;-23.7238;-7.7476;
0.310085;-0.0420142;0.0757917;-90.5711;-5.24141;19.9426;0.076983;0.24397;-5.24967;95.1709;-5.24967;126.867;-9.57243;-14.1027;-23.6821;-7.74737;
0.320087;-0.0413592;0.0748375;-90.5168;-5.24096;19.9412;0.0766253;0.252627;-5.24964;95.1142;-5.24964;126.81;-9.56102;-14.1076;-23.6404;-7.74714;
