Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;
0;0.371419;-0.0348562;318.723;-5.31;60.0005;-0.000188367;-1.3351e-006;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0100014;1.25441;-0.030517;318.834;-5.31;60.0274;-0.000885984;-5.92657e-005;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0200027;1.66146;-0.0266568;319;-5.31001;60.0816;-0.00169986;-0.000255798;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0300041;1.97444;-0.0245643;319.168;-5.31001;60.1477;-0.00225864;-0.000598314;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0400055;2.41765;-0.0233839;319.335;-5.31002;60.227;-0.00264051;-0.00105461;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0500069;2.95364;-0.0227539;319.503;-5.31003;60.3235;-0.00288358;-0.00161319;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0600082;3.52034;-0.0225397;319.671;-5.31005;60.4403;-0.00301129;-0.00226558;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0700096;4.04835;-0.022354;319.84;-5.31006;60.5792;-0.0030384;-0.00300832;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.080011;4.48632;-0.0223733;320.01;-5.31008;60.7343;-0.00298441;-0.00381905;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.0900123;4.79977;-0.0227011;320.178;-5.3101;60.9014;-0.00286363;-0.00469064;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.100014;4.94248;-0.0231908;320.348;-5.31013;61.0775;-0.00268526;-0.00562964;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.110015;4.8893;-0.023904;320.516;-5.31015;61.2524;-0.00246932;-0.00660879;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.120016;4.66418;-0.0249091;320.681;-5.31018;61.4192;-0.00224122;-0.00761038;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.130018;4.2671;-0.0261917;320.853;-5.31021;61.581;-0.00200703;-0.00867932;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.140019;3.72112;-0.0276408;321.025;-5.31024;61.7251;-0.00179139;-0.00977713;369.227;-5.30353;745.42;-5.25;296.697;-1.43661;317.719;-1.75;338.526;-1.5493;357.306;-1.60783;376.056;-1.75;398.362;-1.75;
0.150021;3.0883;-0.0291015;321.197;-5.31028;61.8459;-0.00160807;-0.0108881;369.261;-5.30336;745.42;-5.25;296.731;-1.43664;317.753;-1.74999;338.559;-1.54933;357.34;-1.60851;376.09;-1.74999;398.396;-1.74999;
0.160022;2.42879;-0.030458;321.369;-5.31032;61.9447;-0.0014574;-0.0120185;369.434;-5.30251;745.42;-5.25;296.901;-1.43679;317.924;-1.74995;338.73;-1.54948;357.511;-1.61192;376.26;-1.74994;398.567;-1.74994;
0.170023;1.80205;-0.0316148;321.542;-5.31036;62.0208;-0.0013409;-0.0131526;369.606;-5.30167;745.42;-5.25;297.072;-1.43694;318.095;-1.74991;338.901;-1.54963;357.682;-1.61533;376.431;-1.74989;398.737;-1.7499;
0.180025;1.25203;-0.0325809;321.715;-5.31041;62.0749;-0.0012571;-0.0142977;369.779;-5.30082;745.42;-5.25;297.243;-1.43709;318.266;-1.74987;339.072;-1.54978;357.853;-1.61874;376.602;-1.74985;398.908;-1.74985;
0.190026;0.807975;-0.0334128;321.887;-5.31045;62.1102;-0.00120263;-0.0154359;369.952;-5.29997;745.42;-5.25;297.414;-1.43724;318.437;-1.74983;339.243;-1.54993;358.024;-1.62215;376.773;-1.7498;399.079;-1.74981;
0.200027;0.459226;-0.0340832;322.06;-5.31051;62.1319;-0.0011701;-0.0165876;370.124;-5.29912;745.42;-5.25;297.585;-1.43741;318.608;-1.74979;339.414;-1.5501;358.195;-1.62533;376.944;-1.74975;399.251;-1.74976;
0.210029;0.193646;-0.0346152;322.233;-5.31056;62.1436;-0.00115218;-0.0177434;370.296;-5.29826;745.42;-5.25;297.758;-1.43763;318.78;-1.74975;339.587;-1.55036;358.367;-1.62762;377.117;-1.74971;399.423;-1.74972;
0.22003;0.0230298;-0.0351385;322.389;-5.31061;62.147;-0.00114851;-0.0187867;370.469;-5.29739;745.42;-5.25;297.93;-1.43785;318.953;-1.74971;339.759;-1.55062;358.539;-1.62991;377.289;-1.74966;399.595;-1.74968;
0.230032;-0.129632;-0.0357201;322.579;-5.31068;62.1445;-0.00115879;-0.020074;370.641;-5.29652;745.42;-5.25;298.102;-1.43807;319.125;-1.74967;339.931;-1.55088;358.712;-1.6322;377.461;-1.74962;399.767;-1.74964;
0.240033;-0.232459;-0.0362194;322.751;-5.31075;62.1377;-0.00117786;-0.0212497;370.814;-5.29566;745.42;-5.25;298.274;-1.4383;319.297;-1.74963;340.103;-1.55114;358.884;-1.6345;377.633;-1.74958;399.939;-1.74959;
0.250034;-0.28189;-0.0367092;322.924;-5.31082;62.1285;-0.00120482;-0.0224393;370.986;-5.29479;745.42;-5.25;298.446;-1.43855;319.469;-1.74959;340.275;-1.55143;359.056;-1.63678;377.805;-1.74953;400.111;-1.74955;
0.260036;-0.303579;-0.0370464;323.096;-5.31089;62.1182;-0.00123625;-0.0236344;371.158;-5.29392;745.42;-5.25;298.619;-1.43895;319.642;-1.74954;340.448;-1.55189;359.228;-1.63906;377.978;-1.74947;400.284;-1.74949;
