Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;
0;2.85714;-0.0373622;-1112.05;-17.8972;20.0082;-0.000210457;-1.45598e-006;-1168.36;-14.3972;-1042.25;-14.3972;
0.0100003;4.66382;-0.0397267;-1112.02;-17.8972;20.1087;-0.000952884;-5.52095e-005;-1168.36;-14.3972;-1042.25;-14.3972;
0.0200007;5.54202;-0.0497909;-1111.96;-17.8972;20.3012;-0.002472;-0.000223271;-1168.36;-14.3972;-1042.25;-14.3972;
0.030001;5.57634;-0.0539877;-1111.91;-17.8972;20.5022;-0.00426585;-0.000457177;-1168.36;-14.3972;-1042.25;-14.3972;
0.0400013;5.55404;-0.0533054;-1111.85;-17.8972;20.7037;-0.00614987;-0.000686732;-1168.36;-14.3972;-1042.25;-14.3972;
0.0500016;5.50434;-0.0481298;-1111.79;-17.8972;20.9033;-0.00793697;-0.000879308;-1168.36;-14.3972;-1042.25;-14.3972;
0.060002;5.23919;-0.0440788;-1111.73;-17.8972;21.0988;-0.00952176;-0.00102066;-1168.36;-14.3972;-1042.25;-14.3972;
0.0700023;2.28963;-0.0371272;-1111.67;-17.8973;21.2313;-0.0110102;-0.00124724;-1168.36;-14.3972;-1042.25;-14.3972;
0.0800026;0.239642;-0.00457113;-1111.62;-17.8973;21.265;-0.0115688;-0.00163044;-1168.36;-14.3972;-1042.25;-14.3972;
0.0900029;-0.28381;0.0219599;-1111.56;-17.8973;21.2611;-0.0110899;-0.00204885;-1168.36;-14.3972;-1042.25;-14.3972;
0.100003;-0.406211;0.0408277;-1111.5;-17.8974;21.2479;-0.00981337;-0.00247978;-1168.36;-14.3972;-1042.25;-14.3972;
0.110004;-0.422822;0.051473;-1111.44;-17.8974;21.2331;-0.0080251;-0.00289697;-1168.36;-14.3972;-1042.25;-14.3972;
0.120004;-0.415393;0.057282;-1111.38;-17.8974;21.2173;-0.00582257;-0.00334416;-1168.36;-14.3972;-1042.25;-14.3972;
0.130004;-0.407084;0.0578306;-1111.32;-17.8974;21.2018;-0.00348285;-0.00379698;-1168.36;-14.3972;-1042.25;-14.3972;
0.140005;-0.409346;0.0544744;-1111.26;-17.8974;21.187;-0.00129269;-0.00423282;-1168.36;-14.3972;-1042.25;-14.3972;
0.150005;-0.416265;0.0485543;-1111.2;-17.8974;21.1719;0.000762841;-0.00468378;-1168.35;-14.3972;-1042.24;-14.3972;
0.160005;-0.424863;0.0418287;-1111.14;-17.8974;21.1565;0.00259475;-0.00513701;-1168.29;-14.3971;-1042.18;-14.3971;
0.170006;-0.431363;0.0353521;-1111.08;-17.8974;21.141;0.00419223;-0.00559036;-1168.23;-14.3971;-1042.12;-14.3971;
0.180006;-0.434818;0.0294767;-1111.03;-17.8974;21.1263;0.00548812;-0.00601421;-1168.17;-14.3971;-1042.06;-14.3971;
0.190006;-0.440655;0.0226305;-1110.97;-17.8974;21.1104;0.00663965;-0.00647066;-1168.11;-14.3971;-1042;-14.3971;
0.200007;-0.44779;0.0141885;-1110.91;-17.8974;21.0936;0.0075397;-0.00693819;-1168.05;-14.3971;-1041.94;-14.3971;
0.210007;-0.454171;0.00868696;-1110.85;-17.8974;21.0774;0.0081605;-0.00738374;-1167.99;-14.3971;-1041.88;-14.3971;
0.220007;-0.458813;0.00263624;-1110.79;-17.8974;21.0612;0.00857489;-0.00782284;-1167.93;-14.3971;-1041.83;-14.3971;
0.230007;-0.462082;-0.00544728;-1110.73;-17.8974;21.0449;0.00866877;-0.00825062;-1167.88;-14.3971;-1041.77;-14.3971;
0.240008;-0.466287;-0.0117631;-1110.68;-17.8974;21.029;0.00854431;-0.00866765;-1167.82;-14.3971;-1041.71;-14.397;
0.250008;-0.471708;-0.0180116;-1110.62;-17.8973;21.0133;0.00821035;-0.00907243;-1167.76;-14.397;-1041.65;-14.397;
0.260008;-0.479022;-0.0247946;-1110.56;-17.8973;20.9951;0.00757396;-0.00953582;-1167.7;-14.397;-1041.59;-14.397;
0.270009;-0.48463;-0.0299649;-1110.51;-17.8973;20.9789;0.00678739;-0.0099406;-1167.64;-14.397;-1041.53;-14.397;
0.280009;-0.490783;-0.0350475;-1110.44;-17.8973;20.96;0.00567557;-0.0104003;-1167.58;-14.397;-1041.48;-14.397;
0.290009;-0.496721;-0.0401178;-1110.39;-17.8973;20.9429;0.00451292;-0.0108057;-1167.53;-14.397;-1041.42;-14.3969;
0.30001;-0.502555;-0.0443351;-1110.33;-17.8973;20.9246;0.0031038;-0.011231;-1167.47;-14.3969;-1041.36;-14.3969;
0.31001;-0.507501;-0.0441557;-1110.27;-17.8973;20.9062;0.00163283;-0.0116475;-1167.41;-14.3969;-1041.3;-14.3969;
0.32001;-0.511712;-0.0470272;-1110.21;-17.8973;20.888;0.000119513;-0.0120492;-1167.35;-14.3969;-1041.24;-14.3969;
0.330011;-0.515145;-0.0483;-1110.15;-17.8973;20.8696;-0.00146195;-0.0124434;-1167.29;-14.3969;-1041.18;-14.3968;
0.340011;-0.517474;-0.0482039;-1110.1;-17.8974;20.8526;-0.00294334;-0.0128068;-1167.24;-14.3968;-1041.13;-14.3968;
0.350011;-0.519072;-0.0449777;-1110.04;-17.8974;20.8348;-0.00436763;-0.013182;-1167.18;-14.3968;-1041.07;-14.3968;
0.360012;-0.520082;-0.045619;-1109.98;-17.8974;20.8152;-0.00594247;-0.0135892;-1167.12;-14.3968;-1041.01;-14.3968;
0.370012;-0.520403;-0.0418493;-1109.93;-17.8974;20.7969;-0.00736328;-0.0139809;-1167.06;-14.3968;-1040.95;-14.3967;
0.380012;-0.519902;-0.0370767;-1109.86;-17.8975;20.7768;-0.00873721;-0.0144223;-1167;-14.3967;-1040.89;-14.3967;
0.390013;-0.519035;-0.0314721;-1109.8;-17.8975;20.7576;-0.00983674;-0.0148577;-1166.95;-14.3967;-1040.84;-14.3967;
0.400013;-0.518092;-0.0247202;-1109.75;-17.8976;20.7388;-0.0106526;-0.0152872;-1166.89;-14.3967;-1040.78;-14.3966;
0.410013;-0.516516;-0.0202109;-1109.69;-17.8976;20.7205;-0.0113016;-0.0157026;-1166.83;-14.3966;-1040.72;-14.3966;
0.420014;-0.514458;-0.0136193;-1109.63;-17.8977;20.702;-0.0117437;-0.0161229;-1166.77;-14.3966;-1040.66;-14.3966;
0.430014;-0.512136;-0.00782314;-1109.57;-17.8977;20.6833;-0.0119809;-0.016547;-1166.72;-14.3966;-1040.61;-14.3965;
0.440014;-0.510124;-0.00160249;-1109.52;-17.8978;20.6655;-0.0119886;-0.016947;-1166.66;-14.3965;-1040.55;-14.3965;
0.450015;-0.508044;0.00320916;-1109.46;-17.8978;20.647;-0.0118209;-0.0173519;-1166.6;-14.3965;-1040.49;-14.3964;
0.460015;-0.50625;0.00604388;-1109.41;-17.8979;20.6307;-0.0115477;-0.0176977;-1166.54;-14.3965;-1040.43;-14.3964;
0.470015;-0.503862;0.0121901;-1109.35;-17.8979;20.6125;-0.01107;-0.0180735;-1166.49;-14.3964;-1040.38;-14.3964;
0.480016;-0.501515;0.0140693;-1109.29;-17.898;20.5932;-0.0104267;-0.0184506;-1166.43;-14.3964;-1040.32;-14.3963;
0.490016;-0.499278;0.0159521;-1109.23;-17.898;20.5742;-0.00972496;-0.0188104;-1166.37;-14.3963;-1040.26;-14.3963;
0.500016;-0.497483;0.017575;-1109.17;-17.898;20.5562;-0.00900139;-0.0191402;-1166.31;-14.3963;-1040.2;-14.3962;
