Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;
0;1.17539;0.257441;-1371.21;-15.9432;30.0031;0.00141668;1.00698e-005;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0100001;2.16324;0.207309;-1371.16;-15.9432;30.051;0.00579312;0.000377496;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0200001;2.58277;0.156823;-1371.08;-15.9432;30.1411;0.0116403;0.00162971;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0300002;2.76166;0.132456;-1371;-15.9431;30.2372;0.0156018;0.00379713;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0400003;3.07376;0.118675;-1370.91;-15.9431;30.3431;0.0185853;0.00664991;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0500004;3.47737;0.112126;-1370.83;-15.943;30.4614;0.0209455;0.0100029;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0600004;3.93453;0.107439;-1370.74;-15.9429;30.5952;0.0229212;0.0137677;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0700005;4.39602;0.103218;-1370.66;-15.9428;30.7455;0.024489;0.0178426;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0800006;4.83047;0.100236;-1370.57;-15.9427;30.9132;0.0257773;0.0222372;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.0900006;5.20419;0.0977712;-1370.48;-15.9426;31.0947;0.0268296;0.0268595;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.100001;5.49795;0.0962583;-1370.4;-15.9425;31.2877;0.0276838;0.0316798;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.110001;5.69169;0.0967792;-1370.31;-15.9424;31.4897;0.0283923;0.0366827;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.44;-22.3432;-1173.18;-22.3482;-1164.75;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.120001;5.78834;0.0989315;-1370.22;-15.9422;31.6923;0.0290368;0.0417241;-1321.14;-12.4432;-1420.92;-15.9432;-1271.08;-20.4432;-1240.21;-19.4932;-1320.67;-15.9432;-1220.83;-12.4432;-1335.26;-19.4432;-1295.43;-22.3432;-1173.16;-22.3482;-1164.74;-22.3482;-1210.34;-19.4431;-1152.43;-15.9432;-1115.33;-8.94321;
0.130001;5.77096;0.102278;-1370.14;-15.9421;31.8959;0.0296969;0.0468777;-1321.06;-12.4432;-1420.86;-15.9432;-1271.08;-20.4432;-1240.18;-19.5017;-1320.6;-15.9432;-1220.77;-12.4432;-1335.22;-19.4431;-1295.41;-22.3432;-1173.15;-22.3482;-1164.73;-22.3482;-1210.3;-19.4431;-1152.35;-15.9432;-1115.33;-8.94321;
0.140001;5.61347;0.106005;-1370.05;-15.9419;32.1;0.0304305;0.0521997;-1320.94;-12.4431;-1420.77;-15.9431;-1271.08;-20.4432;-1240.14;-19.5137;-1320.5;-15.9431;-1220.68;-12.4431;-1335.17;-19.4431;-1295.4;-22.3432;-1173.14;-22.3482;-1164.72;-22.3482;-1210.25;-19.4431;-1152.24;-15.9432;-1115.33;-8.94321;
0.150001;5.27504;0.108495;-1369.96;-15.9418;32.2969;0.0312485;0.0576589;-1320.83;-12.4431;-1420.69;-15.9431;-1271.08;-20.4432;-1240.09;-19.5256;-1320.4;-15.9431;-1220.6;-12.4431;-1335.11;-19.4431;-1295.39;-22.3432;-1173.13;-22.3482;-1164.71;-22.3482;-1210.19;-19.4431;-1152.12;-15.9432;-1115.33;-8.94321;
0.160001;4.80141;0.110312;-1369.87;-15.9416;32.4782;0.0320999;0.0631135;-1320.72;-12.4431;-1420.6;-15.9431;-1271.08;-20.4432;-1240.05;-19.5375;-1320.3;-15.9431;-1220.52;-12.4431;-1335.05;-19.4431;-1295.38;-22.3432;-1173.11;-22.3482;-1164.7;-22.3482;-1210.13;-19.443;-1152.01;-15.9432;-1115.33;-8.94321;
0.170001;4.22039;0.111566;-1369.78;-15.9414;32.641;0.032981;0.0685938;-1320.61;-12.4431;-1420.52;-15.9431;-1271.08;-20.4432;-1240.01;-19.5494;-1320.21;-15.9431;-1220.43;-12.4431;-1335;-19.4431;-1295.36;-22.3432;-1173.1;-22.3482;-1164.69;-22.3482;-1210.08;-19.443;-1151.9;-15.9431;-1115.33;-8.94321;
